Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta,Categoria,Stock_Actual,Costo_Unitario_USD,Punto_Reorden,Lead_Time_Dias,Bodega_Origen,Ultima_Revision,_catalog_match,NPS,Rating_Producto,Rating_Logistica,Ticket_Soporte,Venta_Fantasma,Ingreso_USD,Margen_USD,Margen_Pct,Brecha_Entrega_Dias
TRX-10011,PROD-3418,2025-12-07,10,1119.91,20.77,3,Devuelto,Bogotá,Físico,Monitores,669.0,1363.57,293.0,3.0,SUR,2025-12-01,both,,,,,False,11199.1,-2457.3699999999985,-21.942566813404635,0.0
TRX-10012,PROD-2728,2025-08-01,1,1375.59,52.345,8,Entregado,Cali,App,Tablets,445.0,124.9,100.0,0.0,NORTE,2025-03-23,both,,,,,False,1375.59,1198.3449999999998,87.11498338894582,8.0
TRX-10013,PROD-1130,2024-12-10,13,485.04,63.46,12,Entregado,Barranquilla,Físico,Accesorios,427.0,887.57,200.0,3.0,SUR,2025-08-07,both,,,,,False,6305.52,-5296.349999999999,-83.99545160430858,9.0
TRX-10014,PROD-1122,2025-03-21,11,1673.53,98.3,14,Devuelto,Ventas_Web,Online,Tablets,1344.0,553.9,267.0,3.0,NORTE,2025-02-28,both,,,,,False,18408.829999999998,12217.63,66.36831346696124,11.0
TRX-10015,PROD-1383,2026-01-27,2,1446.47,12.07,5,Desconocido,Bucaramanga,App,Monitores,7.0,1027.07,121.0,10.0,BOD-EXT-99,2025-08-16,both,,,,,False,2892.94,826.7300000000001,28.577502471534157,-5.0
TRX-10016,PROD-1895,2025-03-04,3,475.85,51.59,2,Perdido,Ventas_Web,WhatsApp,Accesorios,1865.0,1405.09,218.0,10.0,NORTE,2024-04-08,both,-44.449999999999996,3.0,3.5,1.0,False,1427.5500000000002,-2839.3099999999995,-198.89390914503863,-8.0
TRX-10017,PROD-1952,2025-04-12,14,1950.2,74.64,10,Desconocido,Ventas_Web,Online,Monitores,673.0,1010.35,109.0,5.0,NORTE,2024-08-08,both,,,,,False,27302.8,13083.26,47.91911452305258,5.0
TRX-10018,PROD-3069,2024-10-06,14,1332.95,9.37,3,Devuelto,Cali,WhatsApp,Smartphones,20.0,1369.78,296.0,27.5,NORTE,2024-03-10,both,,,,,False,18661.3,-524.989999999999,-2.813255239452766,-24.5
TRX-10019,PROD-3465,2025-09-04,2,910.33,78.94,23,Perdido,Medellín,Online,Smartphones,0.0,890.67,137.0,5.0,OCCIDENTE,2025-04-09,both,-4.1,3.0,2.0,0.0,False,1820.66,-39.619999999999834,-2.176133929454145,18.0
TRX-10020,PROD-1108,2025-05-26,2,323.48,98.05,10,Retrasado,Bogotá,Online,Laptops,1927.0,1121.36,222.0,5.0,NORTE,2025-05-16,both,,,,,False,646.96,-1693.8099999999997,-261.81062198590325,5.0
TRX-10021,PROD-3298,2024-10-06,12,1071.11,13.41,9,Perdido,Bogotá,Online,Smartphones,1720.0,114.65,217.0,10.0,BOD-EXT-99,2025-12-14,both,,,,,False,12853.32,11464.11,89.19181970105778,-1.0
TRX-10022,PROD-1814,2024-12-30,11,337.9,83.11,17,En Camino,Bogotá,WhatsApp,Accesorios,1055.0,657.69,190.0,5.0,ZONA_FRANCA,2025-10-07,both,85.9,1.0,5.0,1.0,False,3716.8999999999996,-3600.8000000000006,-96.8764292824666,12.0
TRX-10023,PROD-3932,2024-10-25,6,864.69,40.97,28,Perdido,Ventas_Web,Online,,,,,,,,left_only,,,,,True,5188.14,,,
TRX-10024,PROD-3661,2025-12-02,7,823.34,52.345,6,En Camino,Ventas_Web,App,,,,,,,,left_only,,,,,True,5763.38,,,
TRX-10025,PROD-3872,2025-06-06,6,1442.68,18.69,27,Perdido,Barranquilla,App,,,,,,,,left_only,-11.7,3.0,3.0,1.0,True,8656.08,,,
TRX-10026,PROD-3232,2024-10-26,11,392.84,51.85,9,Devuelto,Bogotá,App,Tablets,1546.0,1016.29,210.0,5.0,OCCIDENTE,2024-09-01,both,,,,,False,4321.24,-6909.799999999999,-159.90317594023938,4.0
TRX-10027,PROD-2718,2024-10-11,6,1645.52,11.79,23,Perdido,Medellín,Online,Tablets,369.0,409.07,131.0,0.0,SUR,2025-06-07,both,48.2,3.0,2.0,0.0,False,9873.119999999999,7406.909999999999,75.02096601682142,23.0
TRX-10028,PROD-1902,2025-02-21,9,659.0,54.6,3,Entregado,Cali,Físico,Laptops,1880.0,239.54,150.0,10.0,SUR,2025-02-10,both,,,,,False,5931.0,3720.54,62.73039959534648,-7.0
TRX-10029,PROD-2839,2026-01-25,8,893.54,6.84,7,Perdido,Ventas_Web,Físico,Laptops,1365.0,816.63,214.0,5.0,SUR,2026-01-06,both,,,,,False,7148.32,608.4399999999997,8.511650289858313,2.0
TRX-10030,PROD-3413,2025-06-09,14,1546.96,74.22,12,Devuelto,Barranquilla,App,Smartphones,2.0,337.38,100.0,10.0,NORTE,2025-06-25,both,,,,,False,21657.440000000002,16859.9,77.84807437998212,2.0
TRX-10031,PROD-2139,2025-03-05,8,1254.53,51.36,18,Devuelto,Bucaramanga,Online,Laptops,1316.0,839.61,299.0,0.0,OCCIDENTE,2025-12-30,both,,,,,False,10036.24,3267.9999999999995,32.561995328927964,18.0
TRX-10032,PROD-1026,2024-12-08,6,622.97,48.6,10,Perdido,Bogotá,WhatsApp,Laptops,1993.0,1088.27,238.0,10.0,BOD-EXT-99,2024-12-07,both,-53.8,3.0,4.0,1.0,False,3737.82,-2840.3999999999996,-75.99081817744032,0.0
TRX-10033,PROD-1653,2025-08-02,5,778.54,23.64,2,Perdido,Bucaramanga,WhatsApp,Monitores,0.0,605.66,223.0,3.0,ZONA_FRANCA,2024-06-24,both,-25.9,2.0,5.0,1.0,False,3892.7,840.7600000000001,21.598376448223604,-1.0
TRX-10034,PROD-3859,2025-11-12,9,618.52,39.32,17,Perdido,Medellín,App,,,,,,,,left_only,-41.2,2.0,5.0,0.0,True,5566.68,,,
TRX-10035,PROD-2731,2025-02-06,12,1193.59,22.28,3,Desconocido,Barranquilla,Online,Smartphones,162.0,562.54,137.0,5.0,OCCIDENTE,2024-07-27,both,-83.0,4.0,3.0,1.0,False,14323.079999999998,7550.319999999999,52.714360319149236,-2.0
TRX-10036,PROD-2393,2025-09-16,2,671.92,52.345,1,Desconocido,Barranquilla,WhatsApp,Laptops,132.0,751.07,271.0,3.0,ZONA_FRANCA,2025-04-24,both,80.9,1.0,4.0,1.0,False,1343.84,-210.64500000000018,-15.67485712584833,-2.0
TRX-10037,PROD-2138,2025-04-18,7,1454.14,74.86,8,Retrasado,Medellín,WhatsApp,Accesorios,123.0,620.31,118.0,5.0,NORTE,2024-06-12,both,,,,,False,10178.980000000001,5761.950000000002,56.60635937981999,3.0
TRX-10038,PROD-1636,2025-05-22,6,1163.78,23.91,13,En Camino,Medellín,WhatsApp,Laptops,184.0,1407.11,290.0,5.0,BOD-EXT-99,2024-09-24,both,,,,,False,6982.68,-1483.8899999999996,-21.251009640997435,8.0
TRX-10039,PROD-1881,2024-11-28,7,299.96,63.59,11,Perdido,Barranquilla,Físico,Laptops,854.0,421.48,210.0,3.0,OCCIDENTE,2024-10-22,both,,,,,False,2099.72,-914.2300000000004,-43.540567313737085,8.0
TRX-10040,PROD-2378,2025-01-16,12,627.43,31.56,8,Perdido,Bogotá,Físico,Laptops,1447.0,525.43,108.0,5.0,SUR,2024-12-23,both,,,,,False,7529.16,1192.44,15.837623320529781,3.0
TRX-10041,PROD-1418,2025-10-31,4,450.68,67.41,20,En Camino,Ventas_Web,WhatsApp,Sin categoría,1473.0,303.24,227.0,3.0,SUR,2025-06-17,both,,,,,False,1802.72,522.35,28.975659004171472,17.0
TRX-10042,PROD-1379,2025-04-12,9,786.72,56.34,1,Entregado,Bogotá,Online,Laptops,109.0,1305.07,157.0,5.0,OCCIDENTE,2025-04-12,both,,,,,False,7080.4800000000005,-4721.489999999999,-66.6831909701037,-4.0
TRX-10043,PROD-2556,2025-10-03,7,1036.81,45.23,2,Retrasado,Bogotá,WhatsApp,Tablets,1544.0,660.07,191.0,3.0,ZONA_FRANCA,2024-03-30,both,,,,,False,7257.67,2591.9499999999994,35.71325232478191,-1.0
TRX-10044,PROD-1396,2025-05-30,2,1018.46,68.94,18,Retrasado,Medellín,WhatsApp,Sin categoría,157.0,388.33,203.0,3.0,ZONA_FRANCA,2025-11-15,both,,,,,False,2036.92,1191.3200000000002,58.48634212438388,15.0
TRX-10045,PROD-2470,2025-12-12,13,1511.5,44.49,18,Entregado,Medellín,Físico,Monitores,1209.0,486.4,166.0,10.0,ZONA_FRANCA,2026-01-25,both,,,,,False,19649.5,13281.81,67.59362833659888,8.0
TRX-10046,PROD-2408,2025-12-08,4,386.45,83.03,9,En Camino,Bogotá,Online,Smartphones,985.0,221.06,167.0,27.5,NORTE,2025-06-02,both,4.3,4.0,2.0,1.0,False,1545.8,578.53,37.425928321904514,-18.5
TRX-10047,PROD-3472,2025-06-27,5,1893.48,74.31,7,En Camino,Cali,App,Smartphones,1540.0,1098.83,117.0,5.0,OCCIDENTE,2024-05-26,both,,,,,False,9467.4,3898.94,41.182795698924735,2.0
TRX-10048,PROD-2083,2025-01-12,2,692.26,52.345,9,Devuelto,Medellín,Online,Accesorios,232.0,1074.24,255.0,5.0,NORTE,2025-08-10,both,,,,,False,1384.52,-816.3050000000001,-58.9594227602346,4.0
TRX-10049,PROD-1177,2025-12-17,10,607.5,56.36,10,En Camino,Bogotá,Online,Smartphones,569.0,591.51,191.0,10.0,NORTE,2025-06-01,both,,,,,False,6075.0,103.53999999999964,1.7043621399176896,0.0
TRX-10050,PROD-3988,2025-08-19,8,1373.51,88.32,26,Desconocido,Cali,Físico,,,,,,,,left_only,-33.8,4.0,3.0,1.0,True,10988.08,,,
TRX-10051,PROD-2881,2026-01-08,1,1612.98,83.74,2,Retrasado,Cali,Online,Tablets,1038.0,1060.2,269.0,27.5,SUR,2025-03-04,both,-56.6,2.0,5.0,0.0,False,1612.98,469.03999999999996,29.07909583503825,-25.5
TRX-10052,PROD-3196,2025-05-14,3,763.16,55.52,5,Desconocido,Medellín,Físico,Smartphones,53.0,958.86,108.0,0.0,SUR,2025-12-11,both,,,,,False,2289.48,-642.6199999999999,-28.06838234009469,5.0
TRX-10053,PROD-1511,2025-03-17,14,1496.23,11.5,17,Devuelto,Bogotá,Online,Tablets,73.0,87.25,202.0,5.0,NORTE,2025-08-24,both,,,,,False,20947.22,19714.22,94.11377738907596,12.0
TRX-10054,PROD-2550,2025-10-19,1,1768.63,58.77,2,Perdido,Bogotá,Físico,Monitores,987.0,60.66,222.0,27.5,ZONA_FRANCA,2024-08-12,both,,,,,False,1768.63,1649.2,93.2473157189463,-25.5
TRX-10055,PROD-1322,2025-12-23,5,1535.94,38.75,20,Perdido,Bogotá,Online,Accesorios,1193.0,642.26,163.0,10.0,NORTE,2025-05-30,both,,,,,False,7679.700000000001,4429.650000000001,57.6799874995117,10.0
TRX-10056,PROD-3261,2025-02-12,8,78.05,56.31,10,Perdido,Medellín,Online,Sin categoría,1155.0,540.83,104.0,27.5,SUR,2024-03-27,both,,,,,False,624.4,-3758.55,-601.9458680333121,-17.5
TRX-10057,PROD-2200,2024-10-24,7,1656.46,66.48,1,Devuelto,Bogotá,Online,Monitores,987.0,1331.34,183.0,0.0,BOD-EXT-99,2024-09-30,both,,,,,False,11595.220000000001,2209.360000000002,19.05405848271962,1.0
TRX-10058,PROD-3574,2025-03-22,9,1551.22,66.26,12,Retrasado,Barranquilla,Online,,,,,,,,left_only,-9.4,1.0,5.0,1.0,True,13960.98,,,
TRX-10059,PROD-3533,2024-11-28,2,1341.89,68.98,24,En Camino,Cali,App,,,,,,,,left_only,,,,,True,2683.78,,,
TRX-10060,PROD-2481,2024-09-26,12,1522.44,52.345,15,Devuelto,Bucaramanga,App,Monitores,901.0,353.19,122.0,0.0,NORTE,2025-12-25,both,-19.1,4.0,3.5,1.0,False,18269.28,13978.655,76.51453697135301,15.0
TRX-10061,PROD-3364,2025-07-05,8,1959.06,69.53,6,Retrasado,Barranquilla,Físico,Accesorios,1419.0,1407.44,256.0,27.5,BOD-EXT-99,2024-08-29,both,,,,,False,15672.48,4343.429999999999,27.713737710942997,-21.5
TRX-10062,PROD-1787,2025-06-18,8,867.91,15.38,14,En Camino,Barranquilla,App,Sin categoría,581.0,352.06,141.0,5.0,ZONA_FRANCA,2024-09-28,both,,,,,False,6943.28,4111.419999999999,59.214377066746536,9.0
TRX-10063,PROD-3885,2025-05-16,14,143.77,23.21,14,Entregado,Cali,WhatsApp,,,,,,,,left_only,,,,,True,2012.7800000000002,,,
TRX-10064,PROD-1284,2025-06-26,6,927.17,64.9,15,Retrasado,Bogotá,App,Tablets,1097.0,626.64,184.0,5.0,NORTE,2024-12-15,both,,,,,False,5563.0199999999995,1738.2799999999993,31.247056454947124,10.0
TRX-10065,PROD-1187,2024-11-02,3,102.4,43.78,1,Desconocido,Ventas_Web,Físico,Smartphones,1032.0,277.38,151.0,0.0,BOD-EXT-99,2024-05-15,both,,,,,False,307.20000000000005,-568.7199999999999,-185.13020833333326,1.0
TRX-10066,PROD-3708,2025-01-21,2,595.56,77.47,25,Desconocido,Cali,WhatsApp,,,,,,,,left_only,,,,,True,1191.12,,,
TRX-10067,PROD-1933,2026-01-29,14,1177.89,16.87,17,Entregado,Cali,App,Laptops,425.0,488.58,100.0,3.0,OCCIDENTE,2025-07-03,both,,,,,False,16490.460000000003,9633.470000000003,58.41844314834154,14.0
TRX-10068,PROD-2185,2025-06-24,8,626.15,23.19,11,Perdido,Medellín,WhatsApp,Accesorios,1769.0,604.08,157.0,5.0,NORTE,2024-05-12,both,-24.1,3.0,3.0,0.5,False,5009.2,153.3699999999995,3.061766349916144,6.0
TRX-10069,PROD-1326,2025-05-11,6,1373.94,58.05,15,Perdido,Bogotá,WhatsApp,Smartphones,0.0,618.27,115.0,5.0,OCCIDENTE,2025-06-11,both,,,,,False,8243.64,4475.969999999999,54.29603912834621,10.0
TRX-10070,PROD-1953,2025-07-23,4,1645.75,52.57,20,Retrasado,Ventas_Web,WhatsApp,Accesorios,1903.0,1140.15,281.0,0.0,NORTE,2024-05-24,both,-41.1,1.0,1.0,0.0,False,6583.0,1969.8299999999997,29.9229834421996,20.0
TRX-10071,PROD-1413,2024-12-17,5,846.67,30.31,16,Desconocido,Bogotá,Físico,Laptops,405.0,424.96,230.0,3.0,BOD-EXT-99,2024-05-11,both,,,,,False,4233.349999999999,2078.24,49.092090188621306,13.0
TRX-10072,PROD-2556,2024-11-24,5,1801.27,52.345,21,Entregado,Medellín,App,Tablets,1544.0,660.07,191.0,3.0,ZONA_FRANCA,2024-03-30,both,,,,,False,9006.35,5653.655,62.77409827510589,18.0
TRX-10073,PROD-2138,2025-10-31,13,168.88,43.79,29,Devuelto,Bogotá,Físico,Accesorios,123.0,620.31,118.0,5.0,NORTE,2024-06-12,both,,,,,False,2195.44,-5912.379999999998,-269.3027365812775,24.0
TRX-10074,PROD-2857,2025-04-02,9,1681.83,8.32,27,En Camino,Bogotá,Físico,Laptops,1487.0,1308.6,157.0,10.0,BOD-EXT-99,2025-07-12,both,,,,,False,15136.47,3350.7499999999995,22.136931530270925,17.0
TRX-10075,PROD-3603,2025-07-12,13,1658.86,8.52,9,Perdido,Cali,App,,,,,,,,left_only,,,,,True,21565.18,,,
TRX-10076,PROD-2494,2024-10-23,13,650.77,14.02,29,Perdido,Ventas_Web,Físico,Laptops,771.0,1374.18,161.0,3.0,ZONA_FRANCA,2024-10-16,both,27.75,2.0,3.5,0.0,False,8460.01,-9418.35,-111.32788259115533,26.0
TRX-10077,PROD-1666,2025-08-18,9,604.44,59.8,12,Perdido,Barranquilla,Online,Laptops,1805.0,917.92,121.0,10.0,ZONA_FRANCA,2024-10-05,both,,,,,False,5439.960000000001,-2881.119999999998,-52.96215413348623,2.0
TRX-10078,PROD-2516,2025-02-15,8,617.14,87.05,2,Perdido,Cali,App,Smartphones,1945.0,1475.27,163.0,10.0,OCCIDENTE,2024-12-05,both,,,,,False,4937.12,-6952.09,-140.81266001231486,-8.0
TRX-10079,PROD-2455,2025-01-07,8,1624.67,29.72,15,Desconocido,Cali,Online,Monitores,482.0,884.71,173.0,3.0,NORTE,2024-04-24,both,,,,,False,12997.36,5889.96,45.316587368511755,12.0
TRX-10080,PROD-1858,2025-09-16,12,1664.99,8.22,28,Retrasado,Ventas_Web,App,Tablets,833.0,460.76,181.0,3.0,ZONA_FRANCA,2025-08-10,both,-58.8,5.0,2.0,0.0,False,19979.88,14442.540000000003,72.28541913164645,25.0
TRX-10081,PROD-3745,2025-01-10,2,666.15,72.32,9,Desconocido,Ventas_Web,App,,,,,,,,left_only,,,,,True,1332.3,,,
TRX-10082,PROD-2093,2025-06-25,14,1189.25,86.26,28,Retrasado,Barranquilla,Físico,Smartphones,1825.0,399.69,140.0,27.5,NORTE,2024-10-14,both,-48.5,4.0,4.0,1.0,False,16649.5,10967.58,65.87332952941529,0.5
TRX-10083,PROD-3874,2025-04-20,3,286.48,18.13,16,Entregado,Bucaramanga,Físico,,,,,,,,left_only,27.6,3.0,1.0,0.0,True,859.44,,,
TRX-10084,PROD-3799,2025-02-08,14,942.87,52.345,17,Devuelto,Medellín,Físico,,,,,,,,left_only,1.5,1.5,2.0,0.5,True,13200.18,,,
TRX-10085,PROD-3654,2024-12-17,8,1997.6,41.65,20,Entregado,Medellín,WhatsApp,,,,,,,,left_only,39.3,5.0,1.0,1.0,True,15980.8,,,
TRX-10086,PROD-1292,2024-11-05,13,326.09,20.08,27,Desconocido,Bucaramanga,App,Laptops,736.0,847.31,255.0,10.0,ZONA_FRANCA,2025-08-30,both,,,,,False,4239.17,-6795.939999999999,-160.3129857967479,17.0
TRX-10087,PROD-3495,2024-12-13,5,1895.65,15.1,23,Desconocido,Cali,WhatsApp,Sin categoría,832.0,910.57,161.0,0.0,BOD-EXT-99,2024-07-04,both,50.3,1.0,3.0,1.0,False,9478.25,4910.299999999999,51.80597684171655,23.0
TRX-10088,PROD-3600,2024-11-25,7,1650.27,66.58,4,Devuelto,Bogotá,Físico,,,,,,,,left_only,,,,,True,11551.89,,,
TRX-10089,PROD-1700,2025-10-05,14,1944.71,96.92,8,Retrasado,Bogotá,Online,Tablets,987.0,858.92,251.0,5.0,NORTE,2026-01-14,both,,,,,False,27225.940000000002,15104.140000000003,55.47701934258286,3.0
TRX-10090,PROD-3187,2025-11-14,8,367.36,69.43,7,Perdido,Barranquilla,Online,Laptops,557.0,960.64,224.0,5.0,BOD-EXT-99,2025-04-22,both,,,,,False,2938.88,-4815.67,-163.86072245209058,2.0
TRX-10091,PROD-3986,2025-08-31,6,434.9,98.56,6,Entregado,Cali,App,,,,,,,,left_only,,,,,True,2609.3999999999996,,,
TRX-10092,PROD-2002,2025-08-09,5,43.57,46.27,5,Devuelto,Bogotá,WhatsApp,Laptops,32.0,65.54,173.0,5.0,BOD-EXT-99,2025-12-31,both,,,,,False,217.85,-156.12000000000006,-71.66398898324539,0.0
TRX-10093,PROD-1669,2024-11-16,8,1452.16,90.3,10,En Camino,Barranquilla,App,Smartphones,1704.0,834.62,252.0,27.5,NORTE,2025-07-19,both,,,,,False,11617.28,4850.02,41.748326630674306,-17.5
TRX-10094,PROD-2893,2024-12-05,1,1291.75,24.48,3,Devuelto,Barranquilla,Físico,Smartphones,1422.0,1372.14,181.0,5.0,NORTE,2024-03-18,both,,,,,False,1291.75,-104.8700000000001,-8.118443971356696,-2.0
TRX-10095,PROD-2554,2025-09-30,1,364.35,16.2,24,Entregado,Medellín,WhatsApp,Accesorios,182.0,583.96,297.0,0.0,SUR,2025-01-07,both,66.0,3.0,1.0,1.0,False,364.35,-235.81,-64.72073555647042,24.0
TRX-10096,PROD-2105,2025-01-29,1,1584.38,52.345,20,Retrasado,Ventas_Web,Online,Accesorios,841.0,204.86,282.0,5.0,OCCIDENTE,2024-05-05,both,-94.5,3.0,5.0,1.0,False,1584.38,1327.175,83.76620507706484,15.0
TRX-10097,PROD-3621,2025-06-05,3,605.4,71.74,24,Perdido,Barranquilla,Físico,,,,,,,,left_only,-21.6,2.0,1.0,1.0,True,1816.1999999999998,,,
TRX-10098,PROD-3818,2025-11-18,10,278.64,40.28,17,En Camino,Cali,Físico,,,,,,,,left_only,,,,,True,2786.3999999999996,,,
TRX-10099,PROD-3281,2025-05-11,13,850.9,35.18,16,Entregado,Medellín,Físico,Smartphones,39.0,1366.25,241.0,0.0,BOD-EXT-99,2024-07-17,both,2.9,1.0,5.0,0.0,False,11061.699999999999,-6734.730000000001,-60.88331811566036,16.0
TRX-10101,PROD-3804,2025-02-06,12,533.85,36.68,13,Devuelto,Medellín,Físico,,,,,,,,left_only,,,,,True,6406.200000000001,,,
TRX-10102,PROD-2328,2025-09-08,6,748.95,59.39,18,Retrasado,Cali,Online,Laptops,1296.0,971.22,150.0,10.0,NORTE,2024-07-07,both,,,,,False,4493.700000000001,-1393.009999999999,-30.999176625052826,8.0
TRX-10103,PROD-1229,2025-12-21,6,1705.21,33.45,14,Retrasado,Medellín,Físico,Monitores,1260.0,1450.33,111.0,3.0,NORTE,2024-07-17,both,,,,,False,10231.26,1495.8300000000006,14.620193407263626,11.0
TRX-10104,PROD-1938,2025-10-28,5,1587.17,79.46,2,Perdido,Bucaramanga,WhatsApp,Laptops,1390.0,1050.97,231.0,27.5,NORTE,2024-03-25,both,,,,,False,7935.85,2601.54,32.782121637883776,-25.5
TRX-10105,PROD-1131,2025-09-12,13,891.08,34.68,12,Entregado,Ventas_Web,WhatsApp,Monitores,1572.0,570.85,287.0,10.0,NORTE,2025-01-15,both,7.6,1.5,1.0,1.0,False,11584.04,4128.31,35.63791216190552,2.0
TRX-10106,PROD-2292,2025-01-12,13,1451.9,55.82,22,Desconocido,Medellín,Online,Accesorios,926.0,348.67,232.0,5.0,BOD-EXT-99,2025-08-03,both,,,,,False,18874.7,14286.170000000002,75.68952089304732,17.0
TRX-10107,PROD-2643,2026-01-20,14,1141.61,7.2,21,Retrasado,Medellín,WhatsApp,Tablets,223.0,687.37,208.0,10.0,OCCIDENTE,2025-06-20,both,,,,,False,15982.539999999999,6352.159999999999,39.74437104490274,11.0
TRX-10108,PROD-2096,2025-07-27,7,688.28,52.345,29,Devuelto,Bucaramanga,Online,Tablets,650.0,321.33,195.0,10.0,ZONA_FRANCA,2025-11-03,both,,,,,False,4817.96,2516.3050000000003,52.22760255377795,19.0
TRX-10109,PROD-1271,2025-02-15,5,1454.49,80.21,26,Devuelto,Medellín,App,Sin categoría,253.0,1393.37,242.0,0.0,SUR,2025-06-04,both,,,,,False,7272.45,225.39000000000038,3.099230658168848,26.0
TRX-10110,PROD-1864,2025-12-13,14,1370.16,63.93,10,Perdido,Medellín,Físico,Accesorios,1733.0,1208.05,176.0,5.0,SUR,2025-02-03,both,-22.3,5.0,1.0,0.0,False,19182.24,2205.610000000001,11.498187907147448,5.0
TRX-10111,PROD-3323,2024-10-25,2,1242.0,23.26,29,Retrasado,Barranquilla,App,Sin categoría,1044.0,958.91,129.0,0.0,SUR,2025-10-04,both,,,,,False,2484.0,542.9200000000001,21.856682769726252,29.0
TRX-10112,PROD-3940,2025-06-09,4,1239.73,25.46,7,Devuelto,Bogotá,App,,,,,,,,left_only,,,,,True,4958.92,,,
TRX-10113,PROD-2288,2024-12-18,1,1369.13,29.94,2,Desconocido,Bogotá,App,Accesorios,1795.0,1075.55,164.0,10.0,BOD-EXT-99,2024-06-11,both,48.2,2.0,2.0,0.0,False,1369.13,263.64000000000016,19.256023898388037,-8.0
TRX-10114,PROD-1870,2025-08-19,7,775.25,59.77,25,Devuelto,Bogotá,Online,Monitores,723.0,868.66,132.0,0.0,NORTE,2025-09-09,both,,,,,False,5426.75,-713.6399999999999,-13.15041230939328,25.0
TRX-10115,PROD-3684,2025-12-02,4,1739.46,57.09,18,Perdido,Bucaramanga,Físico,,,,,,,,left_only,,,,,True,6957.84,,,
TRX-10116,PROD-3044,2025-06-14,13,332.99,31.02,17,Retrasado,Medellín,App,Sin categoría,1207.0,1389.41,151.0,5.0,NORTE,2025-08-25,both,-98.8,4.0,4.0,0.0,False,4328.87,-13764.480000000003,-317.96935458907296,12.0
TRX-10117,PROD-2620,2025-08-08,4,1768.93,70.94,16,Perdido,Bucaramanga,Online,Monitores,136.0,826.54,218.0,10.0,BOD-EXT-99,2024-09-05,both,,,,,False,7075.72,3698.6200000000003,52.27199493479109,6.0
TRX-10118,PROD-3633,2024-10-22,13,691.14,89.46,2,Retrasado,Medellín,WhatsApp,,,,,,,,left_only,74.3,2.5,4.0,1.0,True,8984.82,,,
