Feedback_ID,Transaccion_ID,Rating_Producto,Rating_Logistica,Comentario_Texto,Recomienda_Marca,Ticket_Soporte_Abierto,Edad_Cliente,Satisfaccion_NPS,Ticket_Soporte
FB-8075,TRX-12028,2.0,3,Lento,NO,1,63.0,35.3,True
FB-8076,TRX-19164,5.0,5,Precio justo,SI,No,80.0,30.3,False
FB-8077,TRX-11395,2.0,3,---,,0,56.0,-50.2,False
FB-8078,TRX-13152,5.0,3,,Maybe,No,84.0,25.2,False
FB-8079,TRX-18877,4.0,1,---,,No,84.0,-16.0,False
FB-8080,TRX-19451,4.0,3,Precio justo,,Sí,58.0,-69.3,True
FB-8081,TRX-10866,4.0,5,,,Sí,49.0,-28.0,True
FB-8082,TRX-19342,3.0,1,---,SI,0,53.0,32.4,False
FB-8083,TRX-18548,2.0,5,Lento,,0,20.0,75.1,False
FB-8084,TRX-13103,5.0,2,---,SI,Sí,73.0,-12.4,True
FB-8085,TRX-17796,2.0,5,No volvería,NO,Sí,30.0,-42.0,True
FB-8086,TRX-18235,5.0,5,Dañado,NO,No,66.0,-67.8,False
FB-8087,TRX-10305,1.0,4,Precio justo,NO,Sí,84.0,-19.4,True
FB-8088,TRX-11970,2.0,5,No volvería,SI,0,64.0,-43.1,False
FB-8089,TRX-18713,1.0,3,Precio justo,SI,Sí,41.0,-10.6,True
FB-8090,TRX-12944,4.0,3,Dañado,Maybe,1,57.0,-79.9,True
FB-8091,TRX-10310,3.0,1,No volvería,,0,41.0,47.1,False
FB-8092,TRX-14504,3.0,2,---,SI,1,74.0,-99.1,True
FB-8093,TRX-13371,2.0,1,---,SI,0,41.0,39.9,False
FB-8094,TRX-14018,1.0,5,Excelente,,Sí,80.0,-38.7,True
FB-8095,TRX-19495,1.0,5,No volvería,Maybe,0,36.0,-28.2,False
FB-8096,TRX-17278,5.0,3,Excelente,,0,79.0,-65.8,False
FB-8097,TRX-11386,2.0,5,Lento,,Sí,47.0,93.6,True
FB-8098,TRX-18741,2.0,5,Dañado,NO,0,82.0,-89.4,False
FB-8099,TRX-19942,1.0,3,Precio justo,NO,Sí,19.0,-43.4,True
FB-8100,TRX-15249,1.0,2,Lento,,No,23.0,-70.6,False
FB-8101,TRX-16583,3.0,5,Lento,Maybe,Sí,81.0,-3.5,True
FB-8102,TRX-19648,2.0,4,,Maybe,0,27.0,12.0,False
FB-8103,TRX-10737,3.0,2,,Maybe,1,41.0,-60.7,True
FB-8104,TRX-18052,4.0,2,No volvería,SI,Sí,20.0,31.1,True
FB-8105,TRX-10381,4.0,3,No volvería,NO,Sí,64.0,10.5,True
FB-8106,TRX-15569,1.0,1,,Maybe,Sí,64.0,68.4,True
FB-8107,TRX-17160,5.0,5,,SI,Sí,73.0,81.3,True
FB-8108,TRX-12957,1.0,5,Excelente,,1,70.0,38.9,True
FB-8109,TRX-16798,2.0,1,Excelente,,Sí,67.0,26.1,True
FB-8110,TRX-10394,1.0,5,Lento,,1,33.0,21.1,True
FB-8111,TRX-18649,3.0,4,Lento,NO,1,21.0,-66.6,True
FB-8112,TRX-15199,1.0,1,No volvería,SI,Sí,28.0,76.6,True
FB-8113,TRX-16258,3.0,3,No volvería,,0,41.0,-28.0,False
FB-8114,TRX-14213,4.0,1,---,Maybe,No,48.0,38.3,False
FB-8115,TRX-11491,3.0,2,---,Maybe,1,67.0,-11.9,True
FB-8116,TRX-11878,2.0,3,Precio justo,Maybe,0,49.0,80.6,False
FB-8117,TRX-11627,1.0,2,Dañado,Maybe,No,76.0,-18.5,False
FB-8118,TRX-18876,2.0,3,Precio justo,,Sí,29.0,12.0,True
FB-8119,TRX-12755,3.0,1,Dañado,Maybe,0,34.0,-62.5,False
FB-8120,TRX-14675,3.0,2,Lento,Maybe,No,19.0,10.8,False
FB-8121,TRX-12359,3.0,3,No volvería,,0,56.0,-59.5,False
FB-8122,TRX-12992,3.0,5,Precio justo,SI,Sí,67.0,58.9,True
FB-8123,TRX-14187,3.0,2,,,No,68.0,-26.5,False
FB-8124,TRX-11468,1.0,4,Dañado,NO,0,48.0,-15.1,False
FB-8125,TRX-12526,5.0,3,---,NO,No,42.0,28.1,False
FB-8126,TRX-15026,2.0,5,,,Sí,74.0,-82.8,True
FB-8127,TRX-16672,4.0,5,,NO,0,45.0,-37.0,False
FB-8128,TRX-12772,4.0,1,Excelente,SI,1,62.0,86.7,True
FB-8129,TRX-10965,2.0,1,Dañado,SI,No,43.0,72.4,False
FB-8130,TRX-15329,1.0,2,Dañado,Maybe,No,46.0,-53.8,False
FB-8131,TRX-12973,2.0,2,,NO,No,72.0,2.6,False
FB-8132,TRX-10445,3.0,4,No volvería,SI,No,57.0,16.7,False
FB-8133,TRX-10958,5.0,5,Precio justo,SI,No,22.0,-39.7,False
FB-8134,TRX-14882,2.0,3,Lento,NO,No,75.0,-30.5,False
FB-8135,TRX-16388,1.0,4,Precio justo,,Sí,78.0,95.6,True
FB-8136,TRX-11617,3.0,4,Lento,SI,0,39.0,-72.3,False
FB-8137,TRX-15243,2.0,4,,Maybe,1,54.0,82.3,True
FB-8138,TRX-12334,2.0,3,---,NO,No,48.0,-29.2,False
FB-8139,TRX-16763,3.0,4,Excelente,Maybe,1,31.0,-52.2,True
FB-8140,TRX-15311,1.0,1,,SI,0,51.0,-47.9,False
FB-8141,TRX-14225,5.0,1,,SI,0,70.0,-43.3,False
FB-8142,TRX-16152,5.0,1,No volvería,SI,0,38.0,-42.6,False
FB-8143,TRX-11981,3.0,4,Dañado,NO,1,54.0,-49.2,True
FB-8144,TRX-10849,4.0,4,,SI,Sí,41.0,68.5,True
FB-8145,TRX-13318,1.0,5,Precio justo,,No,81.0,-46.4,False
FB-8146,TRX-13925,4.0,2,Precio justo,NO,0,34.0,72.4,False
FB-8147,TRX-19781,4.0,5,Lento,,1,63.0,93.9,True
FB-8148,TRX-19601,4.0,1,---,SI,No,48.0,-44.2,False
FB-8149,TRX-13874,1.0,2,Precio justo,Maybe,No,67.0,13.0,False
FB-8150,TRX-18076,3.0,5,---,Maybe,0,67.0,-8.8,False
FB-8151,TRX-18333,4.0,3,Dañado,NO,1,60.0,69.3,True
FB-8152,TRX-18264,3.0,3,Lento,SI,0,34.0,-38.3,False
FB-8153,TRX-16308,2.0,3,Dañado,NO,0,36.0,53.0,False
FB-8154,TRX-11885,3.0,1,,SI,0,67.0,-4.9,False
FB-8155,TRX-14412,2.0,2,---,,0,79.0,26.2,False
FB-8156,TRX-10993,5.0,1,Lento,,No,44.0,15.3,False
FB-8157,TRX-15215,4.0,3,Dañado,NO,No,57.0,-87.5,False
FB-8158,TRX-17615,5.0,4,Lento,,No,54.0,17.7,False
FB-8159,TRX-19062,5.0,1,No volvería,Maybe,0,33.0,65.5,False
FB-8160,TRX-16669,1.0,2,Precio justo,NO,No,43.0,-42.3,False
FB-8161,TRX-11072,4.0,1,Dañado,,Sí,76.0,-19.5,True
FB-8162,TRX-17932,5.0,2,---,SI,1,82.0,-59.0,True
FB-8163,TRX-10473,2.0,4,Excelente,NO,0,50.0,-58.1,False
FB-8164,TRX-16676,2.0,5,,Maybe,0,51.0,-38.6,False
FB-8165,TRX-13829,1.0,2,No volvería,SI,No,77.0,50.7,False
FB-8166,TRX-10305,5.0,2,No volvería,Maybe,0,68.0,-3.7,False
FB-8167,TRX-14409,5.0,3,,SI,1,81.0,38.2,True
FB-8168,TRX-19077,5.0,3,Dañado,SI,No,38.0,87.1,False
FB-8169,TRX-19603,1.0,4,Dañado,Maybe,1,24.0,46.1,True
FB-8170,TRX-11663,4.0,1,---,SI,Sí,82.0,-25.4,True
FB-8171,TRX-14035,5.0,5,Excelente,NO,1,82.0,2.1,True
FB-8172,TRX-19088,5.0,5,,,No,81.0,-44.3,False
FB-8173,TRX-12057,3.0,4,Dañado,SI,0,35.0,-86.9,False
FB-8174,TRX-14990,2.0,5,,NO,1,78.0,33.2,True
FB-8175,TRX-19310,4.0,1,Excelente,SI,0,33.0,32.4,False
FB-8176,TRX-16664,4.0,3,Dañado,Maybe,Sí,82.0,71.2,True
FB-8177,TRX-17306,4.0,4,Excelente,NO,Sí,78.0,-68.1,True
FB-8178,TRX-11374,5.0,5,Lento,SI,Sí,81.0,76.9,True
FB-8179,TRX-18199,3.0,4,Precio justo,Maybe,Sí,47.0,58.9,True
FB-8180,TRX-13333,4.0,4,Precio justo,SI,0,27.0,-78.5,False
FB-8181,TRX-12332,1.0,2,Dañado,NO,1,46.0,96.5,True
FB-8182,TRX-16116,1.0,2,Dañado,NO,No,39.0,-92.2,False
FB-8183,TRX-18854,2.0,4,---,,0,31.0,59.0,False
FB-8184,TRX-12755,3.0,2,Precio justo,SI,Sí,23.0,-14.3,True
FB-8185,TRX-14016,4.0,5,---,NO,0,61.0,73.1,False
FB-8186,TRX-18806,3.0,4,Precio justo,Maybe,Sí,80.0,45.7,True
FB-8187,TRX-16942,1.0,2,Excelente,NO,1,67.0,-87.9,True
FB-8188,TRX-19095,4.0,5,Excelente,SI,1,78.0,-52.0,True
FB-8189,TRX-17401,5.0,3,Lento,NO,No,37.0,90.5,False
FB-8190,TRX-10684,1.0,3,---,NO,Sí,83.0,-70.6,True
FB-8191,TRX-10016,2.0,4,Lento,,1,32.0,-86.3,True
FB-8192,TRX-17612,4.0,1,Excelente,NO,1,55.0,-69.1,True
FB-8193,TRX-14739,2.0,5,Lento,SI,1,22.0,44.1,True
FB-8194,TRX-12742,3.0,4,No volvería,SI,1,32.0,-92.1,True
FB-8195,TRX-10008,2.0,2,---,NO,No,28.0,-13.4,False
FB-8196,TRX-10985,2.0,3,,NO,0,68.0,-81.7,False
FB-8197,TRX-17900,5.0,2,---,NO,No,50.0,37.4,False
FB-8198,TRX-14477,2.0,5,Excelente,Maybe,1,53.0,-49.4,True
FB-8199,TRX-19795,5.0,4,Lento,SI,0,58.0,36.9,False
FB-8200,TRX-14110,2.0,3,Lento,SI,Sí,50.0,-64.9,True
FB-8201,TRX-16228,5.0,5,Dañado,SI,No,52.0,-20.8,False
FB-8202,TRX-15757,1.0,3,Dañado,SI,0,74.0,85.1,False
FB-8203,TRX-13485,5.0,3,Dañado,Maybe,No,81.0,-23.2,False
FB-8204,TRX-19587,1.0,4,Precio justo,SI,No,50.0,-77.2,False
FB-8205,TRX-18361,1.0,4,,,1,50.0,-26.0,True
FB-8206,TRX-14609,4.0,1,Precio justo,NO,0,35.0,-9.1,False
FB-8207,TRX-10745,1.0,1,Precio justo,SI,Sí,28.0,-8.3,True
FB-8208,TRX-12644,4.0,1,Excelente,NO,0,79.0,41.8,False
FB-8209,TRX-18750,5.0,1,Dañado,SI,0,64.0,-75.1,False
FB-8210,TRX-19225,3.0,2,Dañado,Maybe,1,78.0,-7.7,True
FB-8211,TRX-11145,4.0,1,Excelente,Maybe,0,73.0,-49.2,False
FB-8212,TRX-14925,3.0,2,Precio justo,,Sí,41.0,-11.1,True
FB-8213,TRX-11469,5.0,3,,Maybe,No,82.0,-65.4,False
FB-8214,TRX-16476,4.0,2,Lento,Maybe,1,23.0,-52.9,True
FB-8215,TRX-12014,5.0,3,No volvería,Maybe,1,43.0,10.6,True
FB-8216,TRX-12288,3.0,1,Dañado,SI,0,82.0,-39.7,False
FB-8217,TRX-19117,5.0,2,Precio justo,NO,0,71.0,-68.1,False
FB-8218,TRX-14578,3.0,3,Lento,,No,79.0,23.9,False
FB-8219,TRX-17077,1.0,1,Dañado,NO,0,29.0,67.3,False
FB-8220,TRX-13454,3.0,3,Dañado,,1,41.0,64.3,True
FB-8221,TRX-18270,3.0,4,No volvería,,0,56.0,66.8,False
FB-8222,TRX-15215,1.0,3,Precio justo,SI,1,39.0,-96.6,True
FB-8223,TRX-15613,4.0,1,,NO,Sí,65.0,37.2,True
FB-8224,TRX-14282,2.0,5,Excelente,NO,1,21.0,99.8,True
FB-8225,TRX-17417,4.0,4,Lento,NO,1,46.0,45.3,True
FB-8226,TRX-14473,2.0,2,---,,1,23.0,-46.8,True
FB-8227,TRX-14029,1.0,4,---,,No,64.0,12.8,False
FB-8228,TRX-15269,4.0,1,Lento,,Sí,72.0,-4.4,True
FB-8229,TRX-15597,5.0,3,Precio justo,SI,1,72.0,-8.2,True
FB-8230,TRX-13450,5.0,5,Lento,,0,66.0,44.5,False
FB-8231,TRX-17533,4.0,1,---,SI,0,42.0,-74.6,False
FB-8232,TRX-19822,5.0,3,---,NO,1,62.0,-76.1,True
FB-8233,TRX-15381,1.0,1,Excelente,SI,0,25.0,1.3,False
FB-8234,TRX-10260,5.0,5,---,Maybe,0,28.0,94.8,False
FB-8235,TRX-12190,5.0,3,---,Maybe,No,18.0,-87.7,False
FB-8236,TRX-10033,2.0,5,Lento,NO,Sí,45.0,-25.9,True
FB-8237,TRX-19974,2.0,3,Precio justo,Maybe,0,26.0,1.8,False
FB-8238,TRX-17807,3.0,4,Excelente,,Sí,66.0,-99.7,True
FB-8239,TRX-10070,1.0,1,No volvería,Maybe,0,83.0,-41.1,False
FB-8240,TRX-10156,5.0,2,,SI,1,39.0,-77.8,True
FB-8241,TRX-12843,1.0,2,Precio justo,,1,56.0,41.1,True
FB-8242,TRX-16769,1.0,1,,Maybe,Sí,40.0,-12.2,True
FB-8243,TRX-19106,2.0,2,No volvería,NO,Sí,78.0,24.5,True
FB-8244,TRX-18011,5.0,5,Lento,Maybe,Sí,84.0,20.5,True
FB-8245,TRX-16435,3.0,2,,,Sí,60.0,-28.4,True
FB-8246,TRX-18816,4.0,1,Excelente,Maybe,1,62.0,-92.9,True
FB-8247,TRX-11329,3.0,4,,Maybe,0,58.0,-46.5,False
FB-8248,TRX-11270,2.0,1,Lento,SI,1,36.0,-3.8,True
FB-8249,TRX-18825,3.0,1,Precio justo,SI,Sí,61.0,-59.5,True
FB-8250,TRX-10507,2.0,3,No volvería,SI,No,43.0,87.5,False
FB-8251,TRX-17293,2.0,2,No volvería,Maybe,0,33.0,-17.3,False
FB-8252,TRX-12022,1.0,2,Lento,SI,1,39.0,-29.6,True
FB-8253,TRX-15783,5.0,3,Precio justo,SI,No,23.0,-78.5,False
FB-8254,TRX-16166,4.0,5,---,SI,0,54.0,-44.8,False
FB-8255,TRX-19851,2.0,5,---,NO,1,41.0,15.7,True
FB-8256,TRX-15864,2.0,3,Lento,,0,57.0,63.9,False
FB-8257,TRX-16336,1.0,2,,NO,No,27.0,54.7,False
FB-8258,TRX-12903,4.0,5,Dañado,Maybe,Sí,48.0,37.0,True
FB-8259,TRX-10138,2.0,5,Precio justo,Maybe,0,68.0,86.5,False
FB-8260,TRX-12044,5.0,4,Precio justo,SI,Sí,71.0,-51.4,True
FB-8261,TRX-17580,5.0,5,Excelente,,1,70.0,-53.1,True
FB-8262,TRX-16069,1.0,2,Dañado,NO,1,37.0,-90.7,True
FB-8263,TRX-13161,2.0,4,---,,0,48.0,40.7,False
FB-8264,TRX-17283,4.0,4,No volvería,Maybe,0,33.0,60.2,False
FB-8265,TRX-10153,1.0,2,Lento,Maybe,No,60.0,-48.1,False
FB-8266,TRX-13629,1.0,3,No volvería,SI,Sí,28.0,58.1,True
FB-8267,TRX-10324,3.0,1,Precio justo,NO,0,65.0,41.8,False
FB-8268,TRX-14606,1.0,5,,NO,0,57.0,8.2,False
FB-8269,TRX-15862,3.0,3,Lento,,0,36.0,10.7,False
FB-8270,TRX-13137,3.0,1,---,,0,82.0,41.0,False
FB-8271,TRX-11474,2.0,2,No volvería,Maybe,0,75.0,99.6,False
FB-8272,TRX-14967,5.0,5,Lento,SI,0,44.0,-36.2,False
FB-8273,TRX-13623,4.0,3,No volvería,Maybe,No,58.0,-85.5,False
FB-8274,TRX-13838,1.0,1,Lento,,0,31.0,39.9,False
FB-8275,TRX-18090,2.0,2,No volvería,SI,No,52.0,-94.2,False
FB-8276,TRX-15947,4.0,4,No volvería,,Sí,19.0,79.0,True
FB-8277,TRX-10602,1.0,4,Lento,NO,Sí,30.0,94.5,True
FB-8278,TRX-14599,5.0,4,Excelente,,No,53.0,45.3,False
FB-8279,TRX-18074,5.0,2,Lento,Maybe,0,59.0,-31.4,False
FB-8280,TRX-19929,3.0,1,,SI,1,41.0,-54.9,True
FB-8281,TRX-13425,3.0,2,No volvería,SI,1,32.0,-78.0,True
FB-8282,TRX-10116,4.0,4,Dañado,SI,0,24.0,-98.8,False
FB-8283,TRX-13212,1.0,2,Precio justo,Maybe,0,20.0,-13.9,False
FB-8284,TRX-16489,3.0,5,Excelente,Maybe,0,37.0,29.4,False
FB-8285,TRX-11817,2.0,1,,Maybe,Sí,60.0,-24.7,True
FB-8286,TRX-14544,3.0,5,Lento,NO,0,43.0,-12.4,False
FB-8287,TRX-19324,4.0,4,Precio justo,SI,Sí,62.0,37.0,True
FB-8288,TRX-18197,2.0,1,,SI,No,45.0,-18.2,False
FB-8289,TRX-18093,5.0,5,Excelente,SI,1,62.0,54.7,True
FB-8290,TRX-12793,2.0,2,Dañado,SI,Sí,77.0,28.5,True
FB-8291,TRX-19040,4.0,3,---,NO,Sí,57.0,34.3,True
FB-8292,TRX-13174,5.0,2,Precio justo,SI,1,26.0,23.9,True
FB-8293,TRX-19268,1.0,4,,NO,Sí,57.0,-76.1,True
FB-8294,TRX-19879,4.0,3,Lento,,Sí,31.0,36.8,True
FB-8295,TRX-19259,3.0,1,Dañado,Maybe,0,27.0,18.4,False
FB-8296,TRX-12875,4.0,3,Lento,Maybe,1,65.0,14.9,True
FB-8297,TRX-11070,4.0,1,,SI,Sí,32.0,19.7,True
FB-8298,TRX-19636,4.0,5,Precio justo,Maybe,No,62.0,97.4,False
FB-8299,TRX-12101,5.0,5,Lento,SI,0,75.0,-12.8,False
FB-8300,TRX-11065,3.0,5,,NO,1,36.0,-78.8,True
FB-8301,TRX-12087,4.0,5,Dañado,Maybe,No,65.0,2.6,False
FB-8302,TRX-14253,1.0,5,---,Maybe,1,45.0,-70.0,True
FB-8303,TRX-19337,4.0,3,Dañado,NO,1,61.0,61.3,True
FB-8304,TRX-13734,3.0,1,Precio justo,NO,1,39.0,-50.1,True
FB-8305,TRX-18570,2.0,5,Precio justo,,Sí,57.0,99.1,True
FB-8306,TRX-14494,5.0,5,No volvería,NO,1,61.0,-64.5,True
FB-8307,TRX-13143,3.0,1,Dañado,SI,1,48.0,-24.4,True
FB-8308,TRX-10378,1.0,3,,SI,1,22.0,-70.8,True
FB-8309,TRX-18731,4.0,5,No volvería,Maybe,Sí,46.0,-16.2,True
FB-8310,TRX-14143,5.0,3,Lento,Maybe,0,83.0,-3.2,False
FB-8311,TRX-19176,5.0,5,Precio justo,NO,Sí,31.0,48.7,True
FB-8312,TRX-17437,5.0,3,,SI,Sí,76.0,-99.7,True
FB-8313,TRX-10032,3.0,4,Excelente,NO,Sí,70.0,-53.8,True
FB-8314,TRX-16997,2.0,5,,NO,1,46.0,-46.0,True
FB-8315,TRX-10849,2.0,5,Lento,SI,0,21.0,20.1,False
FB-8316,TRX-15292,1.0,2,No volvería,Maybe,No,49.0,-44.6,False
FB-8317,TRX-17086,3.0,2,Dañado,Maybe,1,66.0,-2.6,True
FB-8318,TRX-16666,3.0,3,Precio justo,Maybe,No,55.0,-2.4,False
FB-8319,TRX-14489,3.0,2,Precio justo,Maybe,No,46.0,62.1,False
FB-8320,TRX-11994,4.0,3,,,0,18.0,75.2,False
FB-8321,TRX-18491,3.0,5,---,,0,20.0,95.4,False
FB-8322,TRX-17644,3.0,5,Lento,Maybe,Sí,59.0,68.2,True
FB-8323,TRX-18119,5.0,4,,SI,No,49.0,75.6,False
FB-8324,TRX-15922,5.0,4,Lento,SI,Sí,40.0,94.2,True
FB-8325,TRX-18474,5.0,2,Precio justo,NO,No,43.0,65.5,False
FB-8326,TRX-10712,3.0,5,No volvería,,Sí,55.0,-59.1,True
FB-8327,TRX-13678,3.0,3,Dañado,Maybe,0,39.0,58.5,False
FB-8328,TRX-10769,5.0,2,Precio justo,Maybe,No,29.0,41.9,False
FB-8329,TRX-14553,1.0,4,Precio justo,SI,No,80.0,11.2,False
FB-8330,TRX-16882,1.0,1,Lento,NO,0,33.0,-65.1,False
FB-8331,TRX-18723,2.0,3,Dañado,SI,No,75.0,-90.4,False
FB-8332,TRX-17354,4.0,1,Precio justo,,Sí,32.0,-56.6,True
FB-8333,TRX-15181,4.0,2,Lento,SI,Sí,22.0,75.4,True
FB-8334,TRX-10084,2.0,2,Excelente,Maybe,No,68.0,-46.1,False
FB-8335,TRX-16420,5.0,1,---,SI,No,58.0,-10.6,False
FB-8336,TRX-13188,5.0,2,Precio justo,SI,Sí,21.0,99.5,True
FB-8337,TRX-15483,3.0,2,Excelente,Maybe,0,64.0,1.9,False
FB-8338,TRX-11340,4.0,5,Dañado,,0,39.0,53.5,False
FB-8339,TRX-19368,3.0,3,Dañado,,Sí,48.0,59.0,True
FB-8340,TRX-10415,3.0,4,Precio justo,,0,46.0,75.9,False
FB-8341,TRX-13696,4.0,5,---,,0,58.0,-33.4,False
FB-8342,TRX-16943,5.0,2,,Maybe,No,78.0,-69.5,False
FB-8343,TRX-11219,1.0,4,No volvería,,1,70.0,77.7,True
FB-8344,TRX-14095,5.0,2,Lento,Maybe,Sí,33.0,21.9,True
FB-8345,TRX-13225,5.0,3,Lento,Maybe,1,72.0,19.2,True
FB-8346,TRX-12694,3.0,2,No volvería,SI,Sí,34.0,14.0,True
FB-8347,TRX-15394,3.0,1,---,SI,0,35.0,-93.0,False
FB-8348,TRX-15092,3.0,1,Excelente,Maybe,0,54.0,-50.2,False
FB-8349,TRX-11029,4.0,1,,SI,No,77.0,34.5,False
FB-8350,TRX-11584,4.0,1,,SI,No,46.0,-93.4,False
FB-8351,TRX-10456,2.0,4,Dañado,NO,0,39.0,21.3,False
FB-8352,TRX-17863,3.0,1,Precio justo,NO,No,71.0,-90.0,False
FB-8353,TRX-17077,4.0,2,Lento,NO,No,62.0,-98.3,False
