Feedback_ID,Transaccion_ID,Rating_Producto,Rating_Logistica,Comentario_Texto,Recomienda_Marca,Ticket_Soporte_Abierto,Edad_Cliente,Satisfaccion_NPS
FB-11657,TRX-12205,1,2,Precio justo,Maybe,1,31,96.7
FB-10655,TRX-13005,4,3,Dañado,SI,1,62,-81.7
FB-9708,TRX-19659,1,4,Lento,SI,No,32,-23.1
FB-11641,TRX-18345,2,3,Lento,SI,1,63,-52.8
FB-9938,TRX-11372,99,3,No volvería,,1,62,-83.7
FB-8478,TRX-12494,4,5,No volvería,SI,Sí,81,72.9
FB-10026,TRX-10127,3,5,No volvería,,0,61,-31.4
FB-10550,TRX-19724,2,1,Precio justo,,No,26,-72.4
FB-11845,TRX-19716,2,5,Lento,,1,29,-23.4
FB-10646,TRX-16060,1,1,,SI,1,18,-24.0
FB-9420,TRX-17430,1,2,Excelente,,No,61,-74.8
FB-9836,TRX-16215,5,2,Precio justo,SI,Sí,57,6.4
FB-10857,TRX-15250,3,3,,SI,Sí,21,-79.6
FB-9786,TRX-17185,2,2,Lento,Maybe,Sí,59,-59.5
FB-8085,TRX-12895,2,5,Lento,Maybe,1,50,44.6
FB-8660,TRX-18334,4,5,Lento,,Sí,19,-39.3
FB-9179,TRX-19635,1,5,Lento,Maybe,No,27,29.0
FB-10974,TRX-14576,4,4,Dañado,NO,1,31,-57.9
FB-8787,TRX-11587,1,5,Lento,SI,No,78,5.8
FB-9922,TRX-13805,1,3,No volvería,Maybe,Sí,44,-79.4
FB-9408,TRX-14871,4,3,Lento,NO,Sí,71,-91.4
FB-9794,TRX-18082,4,2,,NO,0,46,10.0
FB-8950,TRX-15588,4,1,Excelente,,Sí,25,55.7
FB-10079,TRX-10791,1,4,Dañado,SI,1,83,40.7
FB-8899,TRX-19242,3,1,Excelente,NO,No,67,54.6
FB-10407,TRX-18481,4,4,Excelente,Maybe,0,58,-3.1
FB-11723,TRX-18604,1,3,Excelente,SI,0,27,39.3
FB-10805,TRX-19499,4,3,Precio justo,Maybe,Sí,42,-83.7
FB-9389,TRX-18326,3,4,Lento,Maybe,Sí,43,67.0
FB-11775,TRX-16990,3,2,,NO,No,43,-32.2
FB-10466,TRX-14673,5,5,Lento,,0,29,74.8
FB-11495,TRX-15288,5,5,Excelente,SI,0,75,15.6
FB-11450,TRX-16292,3,1,Lento,,No,43,-80.0
FB-10929,TRX-15219,4,3,Precio justo,NO,Sí,30,-16.2
FB-10690,TRX-12923,5,5,---,,0,48,60.9
FB-9918,TRX-12346,1,3,Lento,NO,No,34,-51.5
FB-8537,TRX-10687,3,3,Lento,Maybe,1,32,-63.6
FB-11617,TRX-13451,4,3,Excelente,Maybe,0,39,-96.5
FB-9201,TRX-17053,1,5,Dañado,NO,Sí,33,37.7
FB-10961,TRX-18505,3,5,---,Maybe,No,50,-24.9
FB-10913,TRX-14558,3,5,Dañado,NO,1,58,-65.0
FB-9598,TRX-19423,4,4,Lento,SI,1,21,20.2
FB-11931,TRX-15150,4,5,---,Maybe,Sí,80,-71.2
FB-9707,TRX-11629,2,3,Excelente,Maybe,No,59,44.9
FB-11412,TRX-15690,4,3,Dañado,NO,0,58,16.6
FB-11855,TRX-14666,1,1,,NO,Sí,24,-50.6
FB-10757,TRX-12713,5,2,---,Maybe,1,41,74.9
FB-10672,TRX-11942,4,4,Dañado,SI,0,61,11.8
FB-11008,TRX-14716,4,1,No volvería,Maybe,1,29,-74.2
FB-9475,TRX-14486,5,4,Dañado,NO,No,72,43.8
FB-11260,TRX-17973,5,4,,SI,0,21,-37.1
FB-9934,TRX-17191,3,3,Precio justo,SI,Sí,20,55.0
FB-11275,TRX-13664,3,3,,SI,1,43,-19.7
FB-11976,TRX-12774,5,3,---,,Sí,76,-84.9
FB-11459,TRX-14726,5,3,No volvería,,1,26,26.0
FB-8663,TRX-14250,5,1,Excelente,NO,0,63,-37.9
FB-10547,TRX-19931,1,2,,Maybe,Sí,30,88.4
FB-8848,TRX-11738,2,2,No volvería,Maybe,Sí,22,66.0
FB-9156,TRX-13795,1,1,Dañado,,1,70,-29.2
FB-10829,TRX-14565,2,2,No volvería,SI,No,78,-94.8
FB-11068,TRX-12310,3,5,Excelente,,No,22,7.5
FB-8353,TRX-11572,5,5,Lento,Maybe,Sí,18,29.2
FB-10732,TRX-13388,1,5,---,NO,No,52,36.6
FB-9977,TRX-19046,5,3,Precio justo,Maybe,Sí,45,-30.1
FB-8528,TRX-18334,5,5,Lento,,0,68,-71.7
FB-8709,TRX-12766,5,4,Excelente,NO,No,83,11.9
FB-8817,TRX-10448,1,4,Lento,SI,Sí,40,-2.5
FB-8640,TRX-19804,5,1,Precio justo,SI,Sí,50,98.8
FB-10481,TRX-10651,3,4,Excelente,NO,0,82,14.9
FB-10015,TRX-18844,2,1,Lento,SI,1,41,-63.7
FB-8413,TRX-18813,4,2,Precio justo,Maybe,0,26,-27.7
FB-11250,TRX-13197,3,4,No volvería,Maybe,1,80,6.3
FB-9703,TRX-10109,2,4,Lento,Maybe,Sí,52,67.5
FB-11862,TRX-18001,4,1,No volvería,NO,0,78,-3.8
FB-10022,TRX-10422,5,4,Dañado,,1,33,60.1
FB-9243,TRX-16054,3,1,,Maybe,0,40,-68.9
FB-8961,TRX-13328,4,4,No volvería,SI,No,79,-23.6
FB-8857,TRX-14617,4,3,No volvería,Maybe,No,61,3.8
FB-10280,TRX-19357,4,2,Dañado,Maybe,Sí,76,-95.3
FB-8192,TRX-16987,5,4,Excelente,NO,1,80,51.9
FB-8074,TRX-17288,2,2,,SI,0,28,66.4
FB-9469,TRX-18534,2,4,Dañado,Maybe,1,25,-35.2
FB-11608,TRX-12067,3,4,,SI,Sí,66,91.6
FB-9068,TRX-17435,5,3,,NO,0,25,46.1
FB-9462,TRX-14832,2,5,No volvería,,No,51,65.9
FB-10772,TRX-11795,3,5,Excelente,NO,1,49,31.0
FB-8649,TRX-11965,2,2,Lento,Maybe,1,82,63.9
FB-8715,TRX-17281,1,2,Precio justo,Maybe,1,80,96.6
FB-11391,TRX-17082,5,3,Excelente,SI,Sí,70,69.9
FB-11520,TRX-18081,1,1,,Maybe,1,84,-5.3
FB-11663,TRX-14309,2,2,No volvería,NO,No,47,27.2
FB-10062,TRX-11423,2,5,Lento,NO,0,76,15.9
FB-8130,TRX-12241,1,3,Excelente,NO,0,42,1.7
FB-11304,TRX-14562,5,1,---,NO,Sí,50,54.0
FB-8260,TRX-11908,3,3,Precio justo,NO,Sí,33,-12.3
FB-9383,TRX-15795,4,5,,Maybe,No,66,-38.1
FB-9763,TRX-11295,1,3,No volvería,SI,1,20,-91.6
FB-8466,TRX-13644,5,4,Dañado,Maybe,No,46,-82.4
FB-10529,TRX-11218,5,5,,Maybe,Sí,31,-55.7
FB-8928,TRX-15359,4,1,Precio justo,SI,1,78,-69.2
FB-8494,TRX-12567,3,3,Precio justo,,1,46,-94.3
FB-10301,TRX-18307,3,5,Precio justo,Maybe,Sí,38,39.2
FB-8917,TRX-15494,2,5,---,SI,1,23,52.1
FB-9992,TRX-14523,2,1,---,NO,No,41,-29.1
FB-9056,TRX-17429,1,5,---,NO,No,45,97.3
FB-9393,TRX-18402,3,1,---,NO,1,74,17.6
FB-11214,TRX-11213,1,5,Precio justo,NO,1,74,-80.0
FB-9455,TRX-15157,2,3,Lento,NO,1,39,-27.0
FB-11151,TRX-10628,1,1,,SI,0,41,16.5
FB-8191,TRX-17100,4,1,,Maybe,Sí,35,91.1
FB-11154,TRX-11645,1,5,Excelente,SI,No,45,36.5
FB-11595,TRX-18540,2,4,---,,No,74,-98.2
FB-10281,TRX-15202,2,1,Precio justo,SI,0,18,33.9
FB-9095,TRX-13119,4,4,Precio justo,SI,1,43,31.0
FB-11671,TRX-19145,4,2,No volvería,SI,Sí,50,72.4
FB-8619,TRX-10583,3,3,Dañado,SI,Sí,72,-73.7
FB-11495,TRX-10130,4,4,No volvería,,No,35,61.4
FB-10826,TRX-14029,4,3,Excelente,NO,Sí,27,75.1
FB-11578,TRX-12242,3,1,Lento,,1,31,60.4
FB-10111,TRX-19606,4,3,Dañado,Maybe,Sí,56,-17.9
FB-10475,TRX-16163,5,4,,NO,Sí,53,38.2
FB-10742,TRX-13607,5,1,No volvería,SI,0,68,63.5
FB-8426,TRX-13205,5,4,No volvería,Maybe,Sí,67,89.3
FB-10893,TRX-14346,4,1,,SI,No,32,-33.2
FB-8206,TRX-17702,2,4,Lento,,No,76,-58.5
FB-11795,TRX-12481,2,1,,NO,No,50,51.3
FB-11875,TRX-17938,3,4,Lento,,0,71,-80.5
FB-9793,TRX-13065,2,2,,NO,No,68,12.6
FB-11272,TRX-18138,2,4,Dañado,SI,1,20,72.1
FB-9872,TRX-14630,3,4,Precio justo,Maybe,Sí,51,-55.4
FB-11943,TRX-12159,5,2,---,SI,No,59,-22.4
FB-11447,TRX-13253,3,3,Lento,Maybe,1,26,64.8
FB-11095,TRX-11453,2,1,---,,1,31,0.4
FB-8454,TRX-18459,2,4,---,,No,22,-64.4
FB-11992,TRX-13509,3,3,No volvería,,Sí,50,-83.2
FB-8433,TRX-10052,4,5,---,SI,1,24,11.4
FB-11201,TRX-17115,2,3,---,Maybe,1,57,-95.7
FB-10500,TRX-11102,2,5,No volvería,SI,Sí,52,-32.0
FB-10497,TRX-18039,3,1,Precio justo,,Sí,25,22.4
FB-11203,TRX-19137,2,5,Precio justo,NO,Sí,77,-98.9
FB-11515,TRX-13416,4,2,Lento,SI,0,59,73.6
FB-11880,TRX-12918,4,2,Precio justo,Maybe,1,22,91.4
FB-8417,TRX-10635,3,3,---,Maybe,No,77,-17.9
FB-11373,TRX-16851,1,2,No volvería,,1,22,-91.9
FB-10303,TRX-14310,5,2,Lento,,No,61,-44.0
FB-8171,TRX-16230,4,3,---,NO,0,82,32.6
FB-10077,TRX-19566,4,4,Dañado,Maybe,1,19,-91.5
FB-8431,TRX-13845,5,1,---,Maybe,Sí,74,70.8
FB-8684,TRX-15713,3,5,Excelente,,Sí,67,60.7
FB-10580,TRX-17933,2,3,Lento,Maybe,1,69,-7.5
FB-8483,TRX-18691,3,2,,NO,No,28,54.1
FB-11567,TRX-12950,1,5,Dañado,SI,No,47,-66.0
FB-8841,TRX-14916,1,4,No volvería,NO,1,63,91.3
FB-11731,TRX-13799,5,1,Lento,NO,No,32,-0.4
FB-9481,TRX-14786,99,1,Lento,SI,1,195,97.0
FB-8643,TRX-17947,1,2,Lento,Maybe,Sí,77,5.3
FB-10983,TRX-18031,1,4,Precio justo,SI,No,29,41.9
FB-9196,TRX-16425,5,1,Precio justo,NO,No,23,59.9
FB-10900,TRX-19795,5,5,No volvería,SI,1,22,58.2
FB-9808,TRX-15851,5,5,Dañado,NO,No,63,47.3
FB-11121,TRX-18903,5,2,Lento,SI,1,55,-72.7
FB-10072,TRX-17880,5,4,Excelente,NO,Sí,52,-18.2
FB-10041,TRX-14840,4,5,---,,Sí,72,8.4
FB-11000,TRX-11581,2,1,---,Maybe,Sí,81,41.7
FB-11565,TRX-13586,5,5,Excelente,SI,1,23,-20.8
FB-8406,TRX-11841,2,1,---,SI,1,31,11.4
FB-8631,TRX-14706,1,4,---,SI,0,69,-15.2
FB-10650,TRX-16874,4,2,Excelente,,0,67,42.7
FB-9489,TRX-17326,5,2,---,Maybe,Sí,34,-84.2
FB-9370,TRX-15331,4,2,Precio justo,SI,No,26,42.8
FB-11355,TRX-14053,3,3,No volvería,SI,No,57,67.7
FB-8564,TRX-16960,2,2,Lento,,Sí,53,-97.5
FB-8503,TRX-11897,5,2,No volvería,SI,Sí,66,6.9
FB-11475,TRX-12886,2,1,Precio justo,,1,69,-49.9
FB-8826,TRX-17614,2,4,Lento,NO,0,48,-13.5
FB-9798,TRX-15224,3,4,Lento,,No,74,49.1
FB-11971,TRX-11860,2,5,,NO,Sí,64,55.1
FB-9702,TRX-15694,1,2,No volvería,,No,77,-19.7
FB-11150,TRX-16522,2,4,Excelente,SI,1,39,-81.7
FB-11149,TRX-12098,3,4,Excelente,Maybe,1,47,21.9
FB-8026,TRX-17925,3,4,,NO,1,49,-44.2
FB-9004,TRX-18014,5,4,Dañado,Maybe,No,55,-76.8
FB-11419,TRX-19847,1,1,Dañado,Maybe,1,19,-37.0
FB-11314,TRX-16750,2,2,No volvería,Maybe,No,81,16.1
FB-9940,TRX-13847,3,4,---,,1,67,81.7
FB-9398,TRX-10474,3,1,,SI,No,72,-56.9
FB-9174,TRX-14766,2,3,Lento,Maybe,0,45,52.8
FB-10068,TRX-14389,2,5,Precio justo,Maybe,1,20,72.5
FB-8701,TRX-18314,5,1,Precio justo,Maybe,Sí,76,-70.4
FB-8349,TRX-13524,5,5,Dañado,SI,Sí,37,-98.9
FB-9089,TRX-16701,1,5,Dañado,NO,No,79,89.1
FB-9525,TRX-10996,5,3,Precio justo,NO,Sí,80,-80.3
FB-10929,TRX-19212,5,3,,Maybe,No,36,-67.7
FB-11091,TRX-15295,4,3,Excelente,NO,Sí,23,-18.4
FB-9699,TRX-14286,2,1,No volvería,,Sí,62,-41.0
FB-9477,TRX-15203,5,3,Dañado,,1,79,96.3
FB-10578,TRX-16737,4,4,Dañado,SI,0,31,65.1
FB-10723,TRX-16412,4,1,Precio justo,,Sí,82,29.8
FB-9005,TRX-17240,5,2,Excelente,SI,0,71,-94.7
FB-8620,TRX-16966,3,3,Precio justo,SI,1,77,-51.6
FB-11085,TRX-16531,5,1,---,NO,No,48,-61.4
FB-11086,TRX-14271,5,3,---,Maybe,0,62,-47.8
FB-10169,TRX-10895,2,5,Dañado,Maybe,1,37,89.9
FB-9727,TRX-14396,3,4,,Maybe,No,65,-18.7
FB-11224,TRX-17954,1,5,Precio justo,NO,1,39,74.8
FB-8934,TRX-13587,5,3,No volvería,Maybe,No,57,-5.4
FB-8565,TRX-15567,5,1,---,NO,Sí,67,32.7
FB-11284,TRX-10747,2,4,Dañado,NO,Sí,67,88.3
FB-9756,TRX-15054,1,5,Dañado,,Sí,26,16.5
FB-9693,TRX-17334,4,4,Dañado,Maybe,Sí,69,-28.7
FB-11760,TRX-16714,3,4,Dañado,SI,0,63,-5.4
FB-9676,TRX-13625,1,3,Dañado,Maybe,0,26,-6.3
FB-11678,TRX-19379,5,4,Lento,,1,50,60.0
FB-9879,TRX-12728,4,2,Lento,,No,74,-32.9
FB-11898,TRX-18782,2,2,Precio justo,,No,48,-91.4
FB-11491,TRX-13378,5,5,,SI,0,56,34.6
FB-10114,TRX-11807,2,5,Lento,,1,70,71.0
FB-11254,TRX-15401,3,1,Dañado,,1,75,0.3
FB-10794,TRX-12117,2,3,Dañado,SI,1,81,-72.0
FB-9481,TRX-19911,1,5,Dañado,SI,1,44,-71.0
FB-11865,TRX-18843,1,1,Lento,NO,Sí,26,78.4
FB-8121,TRX-10326,3,5,Lento,NO,No,66,-85.4
FB-9812,TRX-10345,3,1,,SI,No,81,0.6
FB-8596,TRX-16212,3,3,Excelente,SI,No,80,-33.9
FB-11154,TRX-11478,1,3,Dañado,,1,39,-45.0
FB-8040,TRX-15460,5,5,,SI,Sí,19,-65.6
FB-10939,TRX-15778,1,2,,Maybe,1,56,-40.1
FB-11302,TRX-19058,2,4,---,SI,Sí,74,43.1
FB-10119,TRX-11039,3,5,Excelente,NO,Sí,40,19.5
FB-11865,TRX-10806,4,1,,,No,79,-83.5
FB-8285,TRX-18497,1,3,Excelente,SI,0,30,50.8
FB-8347,TRX-13448,4,5,,,0,64,-29.1
FB-9385,TRX-15932,5,3,,,No,37,-56.6
FB-9289,TRX-18773,1,5,---,,1,30,63.5
FB-9645,TRX-13251,5,3,Excelente,,Sí,72,27.2
FB-11163,TRX-12572,5,2,,Maybe,No,44,44.5
FB-8673,TRX-18776,1,1,Dañado,Maybe,No,48,-38.9
FB-9777,TRX-16480,1,5,Lento,SI,1,39,49.8
FB-8251,TRX-13757,5,3,Dañado,SI,No,49,-44.9
FB-9610,TRX-14754,3,5,Lento,Maybe,0,81,36.0
FB-11109,TRX-12644,1,1,---,,1,39,-56.4
FB-8151,TRX-16125,5,5,,,0,79,26.8
FB-10704,TRX-15431,2,4,Dañado,,No,64,-8.7
FB-11778,TRX-16773,4,3,---,SI,Sí,18,-68.7
FB-10627,TRX-13532,2,1,No volvería,Maybe,No,60,18.8
FB-8618,TRX-19059,1,2,---,Maybe,No,55,-97.7
FB-11696,TRX-14074,1,4,No volvería,NO,Sí,58,38.0
FB-10353,TRX-10223,1,5,Dañado,SI,Sí,31,89.0
FB-8236,TRX-10591,1,5,Dañado,,Sí,20,79.2
FB-10587,TRX-10328,2,4,---,NO,1,82,95.1
FB-10921,TRX-18627,3,2,Dañado,NO,Sí,61,-12.4
FB-11272,TRX-11679,5,2,No volvería,,0,33,65.9
FB-10704,TRX-18216,5,5,---,SI,1,25,-71.7
FB-11587,TRX-16519,5,5,---,,No,82,-96.6
FB-10129,TRX-17944,4,2,---,NO,0,79,-68.3
FB-11984,TRX-10692,1,2,---,,0,19,-11.3
FB-9211,TRX-12571,2,2,Dañado,NO,Sí,73,-67.5
FB-9717,TRX-14638,2,5,Precio justo,,1,34,-9.2
FB-9646,TRX-14939,2,3,Precio justo,NO,0,78,-52.9
FB-11628,TRX-10397,3,4,Precio justo,,No,24,-56.8
FB-10788,TRX-13768,1,2,Dañado,Maybe,No,51,83.9
FB-10870,TRX-14051,5,5,,NO,No,77,4.0
FB-10267,TRX-10553,5,1,Excelente,Maybe,Sí,39,34.9
FB-11578,TRX-14463,1,5,Excelente,SI,No,39,-20.2
FB-9246,TRX-12025,5,3,---,Maybe,No,38,-67.0
FB-10955,TRX-16190,5,3,Lento,SI,No,30,42.8
FB-11042,TRX-16565,1,2,,,Sí,61,-11.3
FB-9284,TRX-12149,2,4,Precio justo,SI,1,48,68.3
FB-11724,TRX-14423,4,5,No volvería,NO,1,42,-83.7
FB-9409,TRX-11391,1,4,Precio justo,SI,Sí,72,-23.3
FB-8032,TRX-11253,5,1,Precio justo,Maybe,1,46,-67.7
FB-11387,TRX-11210,5,4,Lento,Maybe,1,52,38.8
FB-9145,TRX-18265,4,4,,NO,Sí,32,-32.5
FB-11687,TRX-16805,4,2,Precio justo,NO,1,66,-16.7
FB-10161,TRX-10330,4,1,Excelente,NO,1,65,-30.1
FB-10500,TRX-10241,1,3,No volvería,SI,No,61,68.1
FB-11770,TRX-18875,2,4,Excelente,SI,Sí,55,12.7
FB-8601,TRX-19910,4,1,Precio justo,SI,Sí,29,41.7
FB-10868,TRX-12487,3,1,Dañado,SI,No,77,48.2
FB-9654,TRX-11565,2,3,No volvería,NO,0,55,41.5
FB-9827,TRX-19636,4,2,No volvería,SI,Sí,81,88.9
FB-10637,TRX-16408,5,1,Lento,Maybe,0,32,30.5
FB-8840,TRX-13183,1,3,Lento,Maybe,1,53,29.8
FB-11635,TRX-19923,5,5,No volvería,NO,Sí,60,61.9
FB-10229,TRX-15114,5,1,No volvería,NO,1,36,-96.7
FB-10557,TRX-15303,1,5,,Maybe,Sí,55,-88.3
FB-11229,TRX-16965,2,5,Excelente,,Sí,43,-50.3
FB-10532,TRX-18394,5,1,Precio justo,,Sí,66,-63.7
FB-10670,TRX-10383,2,3,---,SI,0,78,-69.4
FB-9811,TRX-14950,1,5,No volvería,,Sí,83,10.5
FB-10856,TRX-14490,4,2,,SI,No,29,-60.8
FB-9414,TRX-17518,5,4,Dañado,NO,Sí,53,93.3
FB-11635,TRX-13320,5,5,Precio justo,NO,0,84,-63.2
FB-11325,TRX-11633,1,5,No volvería,Maybe,Sí,48,-66.7
FB-11201,TRX-14329,1,4,,Maybe,0,58,14.6
FB-10657,TRX-19440,4,3,Lento,NO,1,45,-63.8
FB-9656,TRX-17723,1,2,Lento,SI,No,64,33.1
FB-11176,TRX-16169,3,2,Lento,Maybe,No,73,71.7
FB-8808,TRX-14771,3,5,Dañado,,0,46,-12.8
FB-11608,TRX-17037,1,1,Excelente,,1,32,-30.0
FB-9235,TRX-11524,4,1,Precio justo,SI,No,31,37.9
FB-8345,TRX-13641,3,5,Excelente,SI,Sí,33,61.1
FB-8151,TRX-16657,5,1,Excelente,NO,No,45,-39.4
FB-10201,TRX-19191,4,2,Excelente,,0,53,62.3
FB-9370,TRX-14563,99,2,Lento,SI,1,27,53.3
FB-9597,TRX-17919,1,4,---,NO,1,64,-3.4
FB-10970,TRX-14659,3,2,Precio justo,NO,0,71,-8.4
FB-10944,TRX-18736,4,3,Lento,,Sí,26,-79.1
FB-11031,TRX-18300,5,2,---,,1,31,-82.5
FB-11603,TRX-14007,1,5,Excelente,,0,81,49.6
FB-8516,TRX-16265,2,1,,SI,1,74,17.0
FB-10131,TRX-10282,3,1,,Maybe,1,73,-2.2
FB-10215,TRX-18143,5,2,No volvería,SI,0,68,-90.8
FB-9162,TRX-16449,4,2,---,NO,0,72,-88.8
FB-8875,TRX-16106,3,1,Dañado,SI,Sí,56,84.2
FB-8380,TRX-18955,3,1,---,Maybe,Sí,69,32.2
FB-10095,TRX-11774,1,2,,SI,1,80,-22.8
FB-10260,TRX-17409,5,3,,,Sí,78,40.0
FB-9278,TRX-13671,3,3,,SI,1,84,-48.4
FB-10135,TRX-19467,3,1,Dañado,,0,45,-18.1
FB-9395,TRX-10407,5,4,,,0,31,-7.6
FB-11100,TRX-16510,4,3,---,NO,Sí,54,-93.8
FB-10603,TRX-13802,1,5,Excelente,SI,1,69,98.6
FB-8655,TRX-17325,3,1,Lento,SI,Sí,39,-23.7
FB-8095,TRX-16059,5,3,Precio justo,SI,No,18,93.4
FB-8114,TRX-17811,2,2,Lento,Maybe,No,71,29.6
FB-11646,TRX-19226,4,4,Precio justo,SI,No,63,85.8
FB-11262,TRX-11785,1,2,No volvería,SI,No,83,-89.1
FB-10211,TRX-15089,2,2,Precio justo,SI,1,24,92.2
FB-10426,TRX-15446,4,4,Precio justo,Maybe,1,83,-18.6
FB-9059,TRX-12355,3,1,No volvería,SI,0,18,-72.7
FB-8988,TRX-11370,1,2,Dañado,,0,20,34.2
FB-11408,TRX-11562,4,1,Precio justo,,1,18,52.5
FB-11170,TRX-19189,4,1,No volvería,SI,No,52,29.9
FB-9244,TRX-12773,4,1,Precio justo,,Sí,33,8.0
FB-10975,TRX-13402,4,2,Lento,SI,Sí,25,63.3
FB-9731,TRX-18025,2,1,No volvería,Maybe,Sí,38,37.2
FB-10069,TRX-19722,1,2,Excelente,NO,No,22,23.7
FB-8452,TRX-14095,3,1,,,1,73,-36.6
FB-10998,TRX-11374,1,5,---,NO,No,48,75.5
FB-8245,TRX-12315,2,2,Precio justo,NO,No,18,38.4
FB-11447,TRX-16605,1,5,Precio justo,SI,1,30,79.9
FB-9527,TRX-17758,2,1,Lento,Maybe,No,49,21.2
FB-9063,TRX-18575,2,2,Lento,NO,1,68,60.0
FB-10568,TRX-19283,2,4,Excelente,,0,24,76.9
FB-10078,TRX-13808,2,5,No volvería,Maybe,1,75,8.3
FB-9451,TRX-10965,4,3,,,Sí,49,43.0
FB-8507,TRX-18084,1,3,Excelente,,1,35,15.3
FB-8195,TRX-14129,5,4,---,Maybe,No,63,44.1
FB-11098,TRX-16747,2,4,Excelente,,1,25,4.6
FB-10666,TRX-15102,2,3,Dañado,SI,0,43,60.0
FB-11855,TRX-15535,1,2,,SI,0,35,61.5
FB-8510,TRX-12467,4,1,Excelente,Maybe,0,63,-90.7
FB-9838,TRX-10598,3,2,Precio justo,,0,19,-59.3
FB-9220,TRX-15266,2,3,Excelente,NO,Sí,195,-61.3
FB-10344,TRX-19262,4,5,---,Maybe,1,64,-35.5
FB-11018,TRX-19809,4,5,---,NO,1,66,-4.7
FB-8021,TRX-16660,5,1,,Maybe,No,75,47.0
FB-9856,TRX-10091,2,1,Lento,NO,No,25,-39.9
FB-9388,TRX-14393,4,3,Lento,NO,0,39,30.2
FB-8967,TRX-13427,5,3,,Maybe,Sí,42,72.2
FB-11298,TRX-19214,4,1,Precio justo,Maybe,Sí,61,-10.5
FB-11054,TRX-18007,5,5,Dañado,Maybe,No,46,31.5
FB-10382,TRX-18938,5,4,Excelente,Maybe,0,24,69.5
FB-10316,TRX-18188,5,4,No volvería,,No,42,45.0
FB-10927,TRX-15128,4,4,Lento,Maybe,0,25,-79.3
FB-11663,TRX-13862,3,5,Precio justo,NO,No,20,-69.7
FB-11840,TRX-15272,1,2,No volvería,NO,No,48,-83.6
FB-10571,TRX-17559,5,2,,,No,49,-43.5
FB-10725,TRX-17913,2,5,Excelente,Maybe,0,24,-99.2
FB-10184,TRX-18428,1,2,Excelente,,1,31,21.9
