Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta
TRX-10108,PROD-2096,2025-07-27,7,688.28,52.345,29,Devuelto,Bucaramanga,Online
TRX-10109,PROD-1271,2025-02-15,5,1454.49,80.21,26,Devuelto,Medellín,App
TRX-10110,PROD-1864,2025-12-13,14,1370.16,63.93,10,Perdido,Medellín,Físico
TRX-10111,PROD-3323,2024-10-25,2,1242.0,23.26,29,Retrasado,Barranquilla,App
TRX-10112,PROD-3940,2025-06-09,4,1239.73,25.46,7,Devuelto,Bogotá,App
TRX-10113,PROD-2288,2024-12-18,1,1369.13,29.94,2,Desconocido,Bogotá,App
TRX-10114,PROD-1870,2025-08-19,7,775.25,59.77,25,Devuelto,Bogotá,Online
TRX-10115,PROD-3684,2025-12-02,4,1739.46,57.09,18,Perdido,Bucaramanga,Físico
TRX-10116,PROD-3044,2025-06-14,13,332.99,31.02,17,Retrasado,Medellín,App
TRX-10117,PROD-2620,2025-08-08,4,1768.93,70.94,16,Perdido,Bucaramanga,Online
TRX-10118,PROD-3633,2024-10-22,13,691.14,89.46,2,Retrasado,Medellín,WhatsApp
TRX-10119,PROD-2879,2025-10-19,4,258.81,9.13,11,Devuelto,Cali,App
TRX-10120,PROD-1585,2025-05-12,3,1204.05,52.345,19,Desconocido,Cali,Online
TRX-10121,PROD-2084,2025-10-16,8,758.21,44.63,22,Entregado,Ventas_Web,Online
TRX-10122,PROD-1571,2024-12-07,4,1632.84,61.38,7,Devuelto,Bucaramanga,Online
TRX-10123,PROD-2010,2025-12-13,8,867.26,60.71,27,Entregado,Barranquilla,Online
TRX-10124,PROD-3299,2025-01-29,9,1340.44,6.86,22,Retrasado,Ventas_Web,Físico
TRX-10125,PROD-3207,2025-06-20,1,623.43,25.0,17,Retrasado,Barranquilla,WhatsApp
TRX-10126,PROD-2076,2024-12-20,4,426.81,10.87,15,En Camino,Cali,Online
TRX-10127,PROD-3394,2026-01-01,6,782.22,59.05,9,Retrasado,Barranquilla,App
TRX-10128,PROD-2754,2025-11-18,8,1217.55,66.31,12,Retrasado,Medellín,WhatsApp
TRX-10129,PROD-3390,2025-03-11,14,1317.32,20.18,8,En Camino,Ventas_Web,Físico
TRX-10130,PROD-2635,2025-01-28,6,1160.63,36.64,28,Entregado,Bogotá,App
TRX-10131,PROD-2482,2025-03-15,12,1976.23,36.33,2,Retrasado,Medellín,WhatsApp
TRX-10132,PROD-1898,2025-12-03,6,1385.27,52.345,17,Perdido,Bucaramanga,WhatsApp
TRX-10133,PROD-1566,2024-10-18,10,1863.72,82.88,16,Retrasado,Medellín,Físico
TRX-10134,PROD-3087,2024-11-22,4,244.69,23.49,23,Retrasado,Bogotá,App
TRX-10135,PROD-3021,2026-01-23,9,132.13,57.09,16,Devuelto,Bogotá,App
TRX-10136,PROD-1372,2025-10-06,7,628.88,79.38,3,Retrasado,Cali,Online
TRX-10137,PROD-1192,2024-11-28,14,281.81,83.81,19,Retrasado,Bogotá,WhatsApp
TRX-10138,PROD-1449,2025-12-04,11,1056.48,68.32,16,Perdido,Cali,App
TRX-10139,PROD-1626,2025-11-02,6,1042.77,33.46,11,En Camino,Bogotá,Físico
TRX-10140,PROD-3570,2024-10-18,1,1154.34,83.19,26,En Camino,Barranquilla,App
TRX-10141,PROD-1655,2024-12-14,2,1493.0,75.51,9,En Camino,Bogotá,Online
TRX-10142,PROD-3787,2026-01-27,12,1942.95,71.92,14,Devuelto,Medellín,WhatsApp
TRX-10143,PROD-2729,2025-09-21,6,1757.73,11.4,2,Retrasado,Medellín,Online
TRX-10144,PROD-3442,2025-09-24,11,245.55,52.345,13,Entregado,Cali,Físico
TRX-10145,PROD-1260,2024-11-21,1,683.64,9.11,5,Entregado,Bogotá,App
TRX-10146,PROD-2576,2024-10-31,11,519.09,71.06,20,Perdido,Cali,Online
TRX-10147,PROD-2563,2025-01-23,5,361.87,94.76,14,Devuelto,Barranquilla,Físico
TRX-10148,PROD-3440,2025-07-11,1,1094.0,78.5,1,Desconocido,Bogotá,Físico
TRX-10149,PROD-2917,2025-06-26,13,1111.0,83.99,6,Devuelto,Ventas_Web,Online
TRX-10150,PROD-3167,2025-11-21,3,462.22,56.77,22,Retrasado,Barranquilla,Físico
TRX-10151,PROD-2029,2025-10-01,12,1426.68,33.94,11,Desconocido,Bogotá,App
TRX-10152,PROD-3266,2025-07-23,12,1468.5,69.39,17,Entregado,Cali,App
TRX-10153,PROD-1047,2025-07-01,12,51.75,72.64,23,Devuelto,Barranquilla,App
TRX-10154,PROD-3786,2025-04-01,7,797.56,69.16,22,Perdido,Bogotá,Físico
TRX-10155,PROD-3952,2025-12-27,5,1781.38,94.94,14,Entregado,Ventas_Web,Físico
TRX-10156,PROD-1469,2025-07-11,12,1045.43,52.345,14,Devuelto,Medellín,App
TRX-10157,PROD-3792,2025-02-21,10,701.78,39.88,20,Retrasado,Cali,App
TRX-10158,PROD-3199,2025-10-11,1,514.82,8.77,7,Retrasado,Bogotá,WhatsApp
TRX-10159,PROD-2092,2025-05-13,1,494.28,91.3,19,Desconocido,Bogotá,Online
TRX-10160,PROD-3625,2026-01-09,8,208.54,20.25,26,Retrasado,Bogotá,App
TRX-10161,PROD-2393,2025-11-01,11,1636.28,71.25,27,Retrasado,Medellín,Físico
TRX-10162,PROD-1456,2025-02-15,14,182.45,87.95,22,Entregado,Bucaramanga,Online
TRX-10163,PROD-2202,2025-06-20,13,591.67,34.46,6,Entregado,Cali,Físico
TRX-10164,PROD-2780,2025-08-23,9,100.89,83.89,13,Devuelto,Ventas_Web,Físico
TRX-10165,PROD-1647,2025-02-03,7,1564.96,36.55,10,Perdido,Bogotá,WhatsApp
TRX-10166,PROD-2858,2025-03-12,13,88.17,80.45,22,En Camino,Bucaramanga,App
TRX-10167,PROD-1013,2025-11-11,3,623.52,11.63,19,En Camino,Bogotá,WhatsApp
TRX-10168,PROD-3957,2024-10-20,12,1150.86,52.345,10,Retrasado,Cali,Online
TRX-10169,PROD-3947,2025-02-05,6,825.03,67.25,5,Devuelto,Bucaramanga,Físico
TRX-10170,PROD-2078,2025-11-09,3,571.72,69.33,13,En Camino,Ventas_Web,Físico
TRX-10171,PROD-3050,2025-11-01,10,557.63,51.69,17,En Camino,Medellín,App
TRX-10172,PROD-1731,2025-12-31,4,1597.6,70.27,22,En Camino,Cali,Físico
TRX-10173,PROD-3079,2025-10-03,12,1948.22,92.7,23,En Camino,Bucaramanga,Físico
TRX-10174,PROD-1435,2025-05-21,4,702.6,74.72,5,Desconocido,Barranquilla,WhatsApp
TRX-10175,PROD-3561,2025-09-01,3,87.9,96.32,21,En Camino,Cali,App
TRX-10176,PROD-2222,2025-12-08,10,82.77,47.62,29,Desconocido,Medellín,App
TRX-10177,PROD-3617,2025-12-10,6,1520.83,55.19,22,Desconocido,Bogotá,App
TRX-10178,PROD-3079,2025-11-30,5,1109.22,30.06,7,Devuelto,Barranquilla,Físico
TRX-10179,PROD-3494,2025-05-08,11,1569.35,98.63,20,En Camino,Ventas_Web,WhatsApp
TRX-10180,PROD-1814,2025-07-06,9,1398.02,52.345,7,En Camino,Cali,Online
TRX-10181,PROD-1626,2025-07-22,9,1815.94,10.24,15,Desconocido,Ventas_Web,Físico
TRX-10182,PROD-2531,2024-10-26,3,1772.79,39.07,15,Devuelto,Bucaramanga,WhatsApp
TRX-10183,PROD-1661,2024-09-24,13,1578.77,33.28,21,Entregado,Bucaramanga,Online
TRX-10184,PROD-3209,2025-09-19,9,955.63,41.72,23,Entregado,Medellín,Físico
TRX-10185,PROD-3172,2025-04-05,13,623.17,92.18,1,Entregado,Cali,Físico
TRX-10186,PROD-1002,2024-12-25,12,1018.98,39.96,26,En Camino,Bogotá,Online
TRX-10187,PROD-3453,2025-08-16,3,1009.12,92.11,12,Devuelto,Bucaramanga,Físico
TRX-10188,PROD-2327,2025-07-27,4,1224.45,45.22,2,Entregado,Medellín,Físico
TRX-10189,PROD-3001,2025-02-04,1,380.33,86.2,18,Retrasado,Ventas_Web,Físico
TRX-10190,PROD-1079,2025-04-14,5,1314.68,54.57,15,Retrasado,Cali,WhatsApp
TRX-10191,PROD-1458,2025-05-30,12,918.64,34.58,7,Devuelto,Cali,WhatsApp
TRX-10192,PROD-2486,2025-02-16,9,1244.21,52.345,9,En Camino,Bogotá,Físico
TRX-10193,PROD-2259,2025-09-03,2,486.81,47.69,23,Desconocido,Medellín,WhatsApp
TRX-10194,PROD-1980,2025-09-05,4,874.45,45.32,28,Entregado,Barranquilla,Físico
TRX-10195,PROD-1237,2025-06-03,10,428.3,29.69,22,En Camino,Medellín,WhatsApp
TRX-10196,PROD-1986,2025-10-26,2,1751.86,32.52,3,Desconocido,Barranquilla,WhatsApp
TRX-10197,PROD-3323,2025-08-22,14,981.04,22.71,21,Entregado,Barranquilla,WhatsApp
TRX-10198,PROD-1322,2025-03-17,8,457.71,36.92,10,Perdido,Bogotá,Online
TRX-10199,PROD-1350,2025-01-25,9,92.01,64.32,2,Perdido,Medellín,Físico
TRX-10201,PROD-2990,2025-10-25,3,437.14,72.67,25,Retrasado,Bogotá,WhatsApp
TRX-10202,PROD-1283,2025-01-31,13,1979.27,98.76,22,En Camino,Cali,WhatsApp
TRX-10203,PROD-3181,2024-11-11,9,1072.06,40.82,25,Entregado,Bucaramanga,Físico
TRX-10204,PROD-1515,2024-12-24,6,585.06,52.345,25,En Camino,Ventas_Web,App
TRX-10205,PROD-1525,2025-10-07,6,1318.78,48.95,12,En Camino,Cali,Físico
TRX-10206,PROD-3702,2025-07-29,7,557.69,20.59,7,Entregado,Medellín,App
TRX-10207,PROD-2946,2025-10-17,12,1642.35,42.26,5,Retrasado,Medellín,WhatsApp
TRX-10208,PROD-3251,2025-11-29,5,623.39,74.05,4,Perdido,Ventas_Web,Online
TRX-10209,PROD-1676,2025-11-03,6,1976.61,25.65,1,Desconocido,Medellín,Físico
TRX-10210,PROD-2085,2025-04-30,11,1214.24,22.3,15,Entregado,Bogotá,App
TRX-10211,PROD-3161,2025-08-22,1,1690.38,40.76,9,En Camino,Bucaramanga,App
TRX-10212,PROD-3484,2025-08-22,3,154.9,82.77,6,Devuelto,Bucaramanga,App
TRX-10213,PROD-2733,2024-10-12,12,703.12,64.25,14,En Camino,Medellín,Físico
TRX-10214,PROD-1867,2025-04-15,9,1477.6,95.97,2,Desconocido,Bogotá,Físico
TRX-10215,PROD-3208,2024-12-22,12,1313.57,90.93,12,En Camino,Bogotá,App
TRX-10216,PROD-3989,2025-12-10,5,396.54,52.345,23,Devuelto,Bucaramanga,Online
TRX-10217,PROD-3825,2025-09-12,5,718.84,19.36,28,Desconocido,Bogotá,App
TRX-10218,PROD-1823,2025-03-14,8,534.25,9.04,6,En Camino,Bucaramanga,Online
TRX-10219,PROD-3920,2025-03-30,11,1230.61,42.91,13,Devuelto,Bogotá,Físico
TRX-10220,PROD-2276,2025-07-31,11,695.69,54.6,4,En Camino,Medellín,Físico
TRX-10221,PROD-2634,2024-09-24,13,625.02,53.98,22,Retrasado,Bogotá,Físico
TRX-10222,PROD-3751,2025-09-18,2,422.68,17.74,16,Desconocido,Medellín,WhatsApp
TRX-10223,PROD-3661,2025-11-25,13,823.96,16.86,29,Perdido,Medellín,Online
TRX-10224,PROD-2529,2025-03-09,7,399.05,9.45,11,Retrasado,Bogotá,WhatsApp
TRX-10225,PROD-2794,2025-09-25,9,1925.51,85.83,6,Entregado,Bucaramanga,Físico
TRX-10226,PROD-3119,2024-10-16,7,317.46,95.04,5,Entregado,Medellín,App
TRX-10227,PROD-2849,2025-11-09,12,1827.48,15.99,1,En Camino,Medellín,App
TRX-10228,PROD-1495,2025-12-17,5,862.66,52.345,19,Entregado,Bucaramanga,WhatsApp
TRX-10229,PROD-2015,2025-09-22,13,761.95,25.25,7,Entregado,Ventas_Web,App
TRX-10230,PROD-1920,2024-11-29,6,470.33,13.54,18,En Camino,Bucaramanga,Físico
TRX-10231,PROD-1262,2025-09-27,4,1275.16,88.36,10,En Camino,Medellín,WhatsApp
TRX-10232,PROD-2384,2025-04-04,14,1374.2,96.08,10,Perdido,Medellín,App
TRX-10233,PROD-1086,2024-12-15,12,940.47,29.87,17,Devuelto,Bogotá,WhatsApp
TRX-10234,PROD-3409,2025-12-04,7,120.86,33.84,24,En Camino,Medellín,Online
TRX-10235,PROD-3268,2025-12-03,1,1837.84,39.45,7,Perdido,Ventas_Web,WhatsApp
TRX-10236,PROD-1942,2025-04-17,4,1960.85,52.73,22,Retrasado,Ventas_Web,Online
TRX-10237,PROD-3410,2024-11-10,3,867.78,69.83,26,Entregado,Medellín,Online
TRX-10238,PROD-1902,2024-10-24,13,1231.19,52.92,21,Devuelto,Barranquilla,Online
TRX-10239,PROD-1029,2025-08-05,4,906.09,95.35,22,Desconocido,Bogotá,App
TRX-10240,PROD-1290,2025-03-11,1,650.54,52.345,1,Retrasado,Medellín,Online
TRX-10241,PROD-3899,2025-01-29,12,163.86,14.49,12,En Camino,Bogotá,App
TRX-10242,PROD-3584,2025-12-13,13,917.57,80.87,25,Retrasado,Medellín,Físico
TRX-10243,PROD-1241,2025-01-02,2,1638.59,36.78,17,Desconocido,Barranquilla,App
TRX-10244,PROD-1937,2024-10-27,12,43.89,40.87,16,Perdido,Cali,WhatsApp
TRX-10245,PROD-1276,2025-07-26,11,1168.39,72.34,20,En Camino,Bogotá,App
TRX-10246,PROD-1128,2025-04-09,13,1762.74,93.29,15,En Camino,Medellín,App
TRX-10247,PROD-2353,2025-07-20,9,442.92,73.04,29,Devuelto,Cali,App
TRX-10248,PROD-1290,2024-12-08,7,374.68,78.71,19,Perdido,Medellín,Físico
TRX-10249,PROD-3105,2025-09-26,13,1546.83,76.32,20,Entregado,Ventas_Web,App
TRX-10250,PROD-1974,2025-08-09,6,517.62,35.49,17,Retrasado,Bogotá,WhatsApp
TRX-10251,PROD-2140,2024-10-06,2,392.05,76.91,26,Desconocido,Bucaramanga,WhatsApp
TRX-10252,PROD-3740,2025-09-06,1,762.2,52.345,4,Devuelto,Ventas_Web,Online
TRX-10253,PROD-2988,2025-01-31,2,791.08,79.53,4,Desconocido,Medellín,App
TRX-10254,PROD-1877,2025-05-18,7,1749.46,55.67,3,Devuelto,Barranquilla,Físico
TRX-10255,PROD-3208,2025-06-29,2,1240.7,55.99,8,En Camino,Bogotá,Online
TRX-10256,PROD-1541,2024-11-26,3,817.86,77.17,23,Retrasado,Ventas_Web,WhatsApp
TRX-10257,PROD-3962,2025-11-28,8,1073.43,82.62,9,Devuelto,Bucaramanga,Online
TRX-10258,PROD-3338,2025-02-07,7,1908.39,37.03,2,En Camino,Ventas_Web,Físico
TRX-10259,PROD-3360,2025-06-18,12,235.3,81.15,26,En Camino,Bucaramanga,WhatsApp
TRX-10260,PROD-2936,2025-05-08,11,423.35,82.35,19,Perdido,Cali,WhatsApp
TRX-10261,PROD-1995,2025-04-11,11,1925.43,27.24,22,En Camino,Medellín,App
TRX-10262,PROD-2937,2025-02-11,14,1915.08,73.11,18,Entregado,Bogotá,WhatsApp
TRX-10263,PROD-2667,2024-12-31,11,362.56,22.72,16,Perdido,Barranquilla,WhatsApp
TRX-10264,PROD-1779,2025-02-07,9,298.77,52.345,29,Perdido,Medellín,WhatsApp
TRX-10265,PROD-1386,2025-03-09,12,847.96,13.84,28,Entregado,Bucaramanga,App
TRX-10266,PROD-1397,2025-11-03,4,108.94,59.58,28,Entregado,Bucaramanga,App
TRX-10267,PROD-3699,2024-12-30,7,1313.26,91.32,18,Desconocido,Bogotá,WhatsApp
TRX-10268,PROD-2765,2025-07-30,1,164.22,8.37,26,Devuelto,Cali,Físico
TRX-10269,PROD-2451,2025-08-07,11,125.48,83.52,18,Desconocido,Bogotá,Físico
TRX-10270,PROD-2734,2025-08-15,11,975.52,53.11,12,Devuelto,Bogotá,Online
TRX-10271,PROD-2683,2025-11-22,2,1916.0,86.79,2,Desconocido,Bogotá,WhatsApp
TRX-10272,PROD-2912,2025-09-12,7,859.32,85.13,29,Entregado,Medellín,WhatsApp
TRX-10273,PROD-3986,2024-11-27,2,719.4,88.15,21,Devuelto,Medellín,App
TRX-10274,PROD-1221,2025-08-23,6,1995.93,78.04,28,Entregado,Ventas_Web,App
TRX-10275,PROD-3758,2025-08-17,13,1068.62,85.08,1,Entregado,Cali,Físico
TRX-10276,PROD-3676,2024-11-08,10,756.73,52.345,23,Desconocido,Bucaramanga,Físico
TRX-10277,PROD-3646,2025-08-25,12,777.86,21.72,16,En Camino,Cali,Online
TRX-10278,PROD-1403,2025-10-09,9,397.97,33.87,17,Devuelto,Medellín,WhatsApp
TRX-10279,PROD-1248,2025-05-11,11,1029.32,28.04,1,Perdido,Medellín,App
TRX-10280,PROD-2649,2025-07-27,5,883.32,75.53,21,Perdido,Ventas_Web,Online
TRX-10281,PROD-3982,2025-02-15,10,548.88,19.6,23,Devuelto,Medellín,Online
TRX-10282,PROD-2389,2025-04-17,7,329.47,22.31,3,Devuelto,Ventas_Web,Físico
TRX-10283,PROD-1447,2025-02-15,13,629.37,88.5,23,Devuelto,Bogotá,WhatsApp
